token,symbol,exch_seg
12716,TEAMLEASE-EQ,NSE
12841,11NSETEST-EQ,NSE
1289,GFLLIMITED-EQ,NSE
12941,SFLZC26A-ZC,NSE
12971,PRITIKA-SM,NSE
13086,AIAENG-EQ,NSE
13103,SFMP73DR-MF,NSE
13111,ORIENTCER-EQ,NSE
13127,763HP37-SG,NSE
13135,761JK42-SG,NSE
13153,UTIDGR35P2-MF,NSE
13188,RCOM-BE,NSE
13228,ABSLFTUBDG-MF,NSE
13239,749ML27-SG,NSE
13241,758HR30-SG,NSE
13242,764BR32-SG,NSE
13247,765NL32-SG,NSE
13251,SAKUMA-EQ,NSE
13275,INDOTECH-EQ,NSE
13323,DOLLEX-SM,NSE
13337,GALLANTT-EQ,NSE
13368,758JH31-SG,NSE
13387,766TS34-SG,NSE
13423,ELIN-EQ,NSE
13430,KELLTONTEC-EQ,NSE
13460,905SCL25-ZT,NSE
13577,VOLTAMP-EQ,NSE
13585,ATLANTAA-EQ,NSE
13626,767NL33-SG,NSE
13694,INFOMEDIA-BE,NSE
13720,JHS-EQ,NSE
13740,SHYAMTEL-EQ,NSE
13770,755TS30-SG,NSE
13801,SUTLEJTEX-EQ,NSE
13870,KUANTUM-EQ,NSE
13874,765TN33-SG,NSE
13877,767AS33-SG,NSE
13880,BANCOINDIA-EQ,NSE
13891,769UP35-SG,NSE
13896,77HP36-SG,NSE
13947,UTIRFP35P3-MF,NSE
13965,767MP33-SG,NSE
13981,SGBOCT27-GB,NSE
14008,AVTNPL-EQ,NSE
14014,LUMAXTECH-EQ,NSE
14125,OMAXAUTO-BE,NSE
14051,726GS2033-GS,NSE
14058,SANGHVIMOV-EQ,NSE
14134,PITTIENG-EQ,NSE
14150,BTML-EQ,NSE
14160,771AS33-SG,NSE
14168,759PY41-SG,NSE
1425,662AS30-SG,NSE
14236,HDFCMID150-EQ,NSE
14272,765HR33A-SG,NSE
14310,OSWALSEEDS-BE,NSE
14366,IDEA-EQ,NSE
14373,774AP32-SG,NSE
14379,776MN35-SG,NSE
14411,SRIVASAVI-SM,NSE
14452,772TS46-SG,NSE
14459,LEXUS-EQ,NSE
14480,GOKULAGRO-EQ,NSE
14490,NCLIND-EQ,NSE
14522,739NHAI31A-ND,NSE
14532,77HR32-SG,NSE
14590,VELS-SM,NSE
14636,77AP30A-SG,NSE
14637,772HP31-SG,NSE
14650,779JK35-SG,NSE
14654,774RJ40-SG,NSE
14704,965SCL28-AK,NSE
1467,AKZOINDIA-EQ,NSE
14667,KMSUGAR-EQ,NSE
14707,TIMETECHNO-EQ,NSE
14722,NIRMAN-SM,NSE
14726,HFMPM23DGR-MF,NSE
14735,HFMPM23RGR-MF,NSE
14742,AXSENSEX-EQ,NSE
14784,161NSETEST-EQ,NSE
14786,LOWVOL-EQ,NSE
1480,REPL-EQ,NSE
14795,ABSLFTUJDN-MF,NSE
14812,749GJ28-SG,NSE
14825,777HR33-SG,NSE
14845,784RJ41-SG,NSE
14858,GOLD1-EQ,NSE
14868,FLFL-BZ,NSE
14895,AKI-BE,NSE
14917,TAKE-EQ,NSE
14946,F13DG-MF,NSE
14971,710GR2028-GS,NSE
15017,MAANALU-EQ,NSE
15050,717GS2030-GS,NSE
15049,ENERGYDEV-EQ,NSE
15078,CUBEINVIT-IV,NSE
15083,ADANIPORTS-EQ,NSE
15085,SILVERETF-EQ,NSE
1521,INDIAGLYCO-EQ,NSE
15180,KIRLPNU-EQ,NSE
15204,ARIES-EQ,NSE
15213,PPAP-BE,NSE
15228,UJJIVANSFB-EQ,NSE
15256,739HR29-SG,NSE
1528,66ML30-SG,NSE
15303,BANG-EQ,NSE
15362,VGUARD-EQ,NSE
15384,DHANI-EQ,NSE
15431,ACL-BE,NSE
15477,74AP31-SG,NSE
15750,737AS33-SG,NSE
15783,732TS48-SG,NSE
15815,NXST-RR,NSE
1627,LINDEINDIA-EQ,NSE
16045,PRINCEPIPE-EQ,NSE
16069,737JK35-SG,NSE
16154,REMUS-SM,NSE
16274,732TN53-SG,NSE
16289,736ML32-SG,NSE
16346,736RJ33-SG,NSE
16355,PANACHE-BE,NSE
164,68AS30-SG,NSE
1646,658GA30A-SG,NSE
16395,MMP-EQ,NSE
1647,657HP30A-SG,NSE
16589,VAISHALI-EQ,NSE
16638,726HP29-SG,NSE
16650,737JK38-SG,NSE
16651,718GJ28-SG,NSE
16705,GOKUL-EQ,NSE
16719,ALMONDZ-EQ,NSE
16783,GVT&D-EQ,NSE
16913,ARTEMISMED-EQ,NSE
16927,JOCIL-EQ,NSE
16929,736JK35-SG,NSE
16959,ALKALI-EQ,NSE
17041,9IIFL28-Y0,NSE
16973,738GJ30A-SG,NSE
16994,74TS45-SG,NSE
1709,617KL27-SG,NSE
17103,747TS41-SG,NSE
17124,746AP34-SG,NSE
17127,747PN34-SG,NSE
17152,MIDCAPIETF-EQ,NSE
17167,GLOBALPET-SM,NSE
17220,744HR32-SG,NSE
17221,742TN33-SG,NSE
17257,742KL43-SG,NSE
17323,735TN33A-SG,NSE
1733,662KA32A-SG,NSE
17324,738GA33-SG,NSE
17325,736AP38A-SG,NSE
17327,736KL38-SG,NSE
17364,VINATIORGA-EQ,NSE
17400,NHPC-EQ,NSE
17419,BANKETF-EQ,NSE
17424,GLOBUSSPR-EQ,NSE
17627,YCCL-SM,NSE
17637,745TS30A-SG,NSE
17653,745KL40-SG,NSE
17685,GPTINFRA-EQ,NSE
17695,VIJIFIN-BE,NSE
17704,QUESS-EQ,NSE
17728,ASTEC-EQ,NSE
17752,SHILPAMED-EQ,NSE
17835,744TN33B-SG,NSE
17866,10NIDO26-N6,NSE
17933,BEARDSELL-EQ,NSE
18,66RJ30-SG,NSE
17940,925IHFL25E-N8,NSE
17986,PGIMCSA2D-MF,NSE
17996,PGIMCSR2G-MF,NSE
18009,BPF02D4D-MF,NSE
18011,WHIRLPOOL-EQ,NSE
18026,SBFC-EQ,NSE
18035,SANGANI-SM,NSE
18056,SSFL-SM,NSE
18064,BPF02IGG-MF,NSE
18067,BPF02IQD-MF,NSE
18087,751PN36-SG,NSE
1811,KAKATCEM-EQ,NSE
18095,BPF02RDR-MF,NSE
18116,ELECTCAST-W1,NSE
18168,BPF01D3R-MF,NSE
18175,IF3GPD-MF,NSE
18185,HFMPCC50DD-MF,NSE
18196,FISTIP3QDP-MF,NSE
18198,FISTIPD3GP-MF,NSE
18201,FISTIPD3WD-MF,NSE
18214,TEXMOPIPES-EQ,NSE
18215,747KL37-SG,NSE
184,TCPLPACK-EQ,NSE
18250,PYRAMID-EQ,NSE
18322,744RJ33A-SG,NSE
18406,744MN35-SG,NSE
18407,744HR35-SG,NSE
18409,742HP38-SG,NSE
186,850NHAI29-N5,NSE
18527,746MP38-SG,NSE
18638,SCLZC26A-NF,NSE
18680,745HR35A-SG,NSE
1872,664TS51-SG,NSE
18743,SIGNATURE-EQ,NSE
18806,CELLECOR-SM,NSE
18859,925SCL28C-BS,NSE
18879,957SCL30-BX,NSE
18889,KSL-EQ,NSE
1891,661UP31-SG,NSE
18954,748HR35-SG,NSE
18977,UNIVASTU-EQ,NSE
19154,INSPIRE-SM,NSE
19168,756UP35-SG,NSE
19025,KIRLOSIND-EQ,NSE
19162,752TN33-SG,NSE
19181,762BR31-SG,NSE
19186,762AS33-SG,NSE
19211,HMVL-EQ,NSE
1939,662GA31-SG,NSE
19267,EFACTOR-SM,NSE
19277,EMAMIREAL-EQ,NSE
19456,SGBSEP31II-GB,NSE
1004,679AP34-SG,NSE
1011,SCHAEFFLER-EQ,NSE
10197,785AS32-SG,NSE
10255,795AP40A-SG,NSE
10269,791TS43-SG,NSE
10271,79TS44-SG,NSE
10282,KAYA-BE,NSE
10332,79HR34-SG,NSE
10343,RADHIKAJWE-EQ,NSE
10374,802MZ36-SG,NSE
10458,779AP31-SG,NSE
10512,CONS-EQ,NSE
10528,768AS32-SG,NSE
10543,765RJ32-SG,NSE
10576,NIFTYBEES-EQ,NSE
10604,BHARTIARTL-EQ,NSE
10634,ASAL-EQ,NSE
10639,797AP36-SG,NSE
10643,796AP40-SG,NSE
10651,775TN32-SG,NSE
10666,PNB-EQ,NSE
1074,655GA30-SG,NSE
10710,VEEKAYEM-SM,NSE
10718,772AP35-SG,NSE
10765,765AS32-SG,NSE
10773,776KL38-SG,NSE
10848,771AP37-SG,NSE
10882,SFMP64GR-MF,NSE
10925,GODREJIND-EQ,NSE
10931,736GS2052-GS,NSE
10962,745AP40-SG,NSE
10993,INDORAMA-EQ,NSE
10994,TAPIFRUIT-ST,NSE
11045,SATIA-EQ,NSE
11060,KSOLVES-EQ,NSE
11236,JSL-EQ,NSE
11271,DREDGECORP-EQ,NSE
11288,765RJ32A-SG,NSE
1129,GTECJAINX-EQ,NSE
11325,MUKANDLTD-EQ,NSE
11365,865SCL24B-Z8,NSE
11368,905SC24B-Z9,NSE
11403,POONAWALLA-EQ,NSE
11404,779RJ32-SG,NSE
11409,784TS34-SG,NSE
11417,774AP42-SG,NSE
11452,CCL-EQ,NSE
11471,EXCELINDUS-EQ,NSE
11480,KRIDHANINF-EQ,NSE
11483,LT-EQ,NSE
11491,APARINDS-EQ,NSE
11514,785AP40-SG,NSE
11532,ULTRACEMCO-EQ,NSE
11560,HDFC1359DG-MF,NSE
11573,FORCEMOT-EQ,NSE
11581,GULFPETRO-EQ,NSE
11596,LINCOLN-EQ,NSE
11647,KOTARISUG-EQ,NSE
11667,DWARKESH-EQ,NSE
11677,INDOCO-EQ,NSE
11678,778MH30-SG,NSE
11695,788MP33-SG,NSE
11696,789TS36-SG,NSE
117,OMFURN-SM,NSE
11705,XCHANGING-EQ,NSE
11730,728IRFC30-NG,NSE
11731,CONSOFINVT-EQ,NSE
11748,725IRFC35-NH,NSE
11905,GENUSPOWER-EQ,NSE
11910,RITEZONE-SM,NSE
11971,GOLDIAM-EQ,NSE
11978,768KA31-SG,NSE
12022,AURIONPRO-EQ,NSE
12072,SCPL-EQ,NSE
12108,HDFCPVTBAN-EQ,NSE
12121,AARTISURF-P1,NSE
12124,DOLATALGO-EQ,NSE
12219,RUSTOMJEE-EQ,NSE
1227,65KA30A-SG,NSE
12303,77HR34-SG,NSE
12444,960CAGL25-N3,NSE
12578,FINIETF-EQ,NSE
12664,757HR30-SG,NSE
1270,AMBUJACEM-EQ,NSE
12706,763PN39-SG,NSE
128,ROUTE-EQ,NSE
13126,REPRO-EQ,NSE
13113,758BR32-SG,NSE
13154,UTIDMP35P2-MF,NSE
13197,GSPL-EQ,NSE
13198,COMMOIETF-EQ,NSE
13229,GVKPIL-BE,NSE
13235,ABSLFTUBRN-MF,NSE
13276,LANDMARK-EQ,NSE
13295,VISASTEEL-EQ,NSE
1336,HEG-EQ,NSE
13373,762GA32A-SG,NSE
13389,767TS35-SG,NSE
13393,769TN37-SG,NSE
13399,767WB39-SG,NSE
13400,BHAGERIA-EQ,NSE
13409,GPIL-EQ,NSE
13538,TECHM-EQ,NSE
13543,HDFC1204DQ-MF,NSE
13570,RBMINFRA-SM,NSE
1362,64AP28-SG,NSE
13580,RADIANTCMS-EQ,NSE
13595,HGM-BE,NSE
13670,SFMP74DR-MF,NSE
13674,SFMP74GR-MF,NSE
13701,GOLDKART-ST,NSE
13702,VISHWARAJ-EQ,NSE
13712,754AP29-SG,NSE
13773,757GJ32-SG,NSE
13795,PARSVNATH-BE,NSE
13826,SOBHA-EQ,NSE
13859,VENUSREM-EQ,NSE
13886,764MH33-SG,NSE
13892,77MN35-SG,NSE
13943,UTIDQP35P3-MF,NSE
13946,UTIRAP35P3-MF,NSE
13950,LIQUID1-EQ,NSE
13964,765GJ33-SG,NSE
1403,HINDOILEXP-EQ,NSE
13996,765KL48-SG,NSE
14028,1030SFIL26-NJ,NSE
14030,984SFIL26A-NK,NSE
14032,980SFIL28-NL,NSE
14068,SAGCEM-EQ,NSE
14106,AUTOIND-EQ,NSE
1412,AGI-EQ,NSE
14117,755TN53-SG,NSE
14166,762MZ36-SG,NSE
1424,HINDZINC-EQ,NSE
14172,SHERA-SM,NSE
14178,IZMO-BE,NSE
14203,HUBTOWN-EQ,NSE
14260,PGIL-EQ,NSE
14309,INDIANB-EQ,NSE
1437,668KA36-SG,NSE
14336,HDFC2638DQ-MF,NSE
14340,769WB39-SG,NSE
14341,777AP40-SG,NSE
14421,77AP29-SG,NSE
14425,77MH33-SG,NSE
14428,GOLDBEES-EQ,NSE
1448,HLVLTD-EQ,NSE
14441,775UP35-SG,NSE
14451,777MP43-SG,NSE
14499,729NHAI26-NC,NSE
14523,ICRA-EQ,NSE
14533,769TS32-SG,NSE
14534,773BR33-SG,NSE
14538,773UP33-SG,NSE
14554,774UP37-SG,NSE
14558,774MZ38-SG,NSE
14562,ZENITHSTL-EQ,NSE
14598,SGBMAR31IV-GB,NSE
14804,ABSLFTUJRN-MF,NSE
1476,IDBI-EQ,NSE
14782,151NSETEST-EQ,NSE
14793,MEGASOFT-EQ,NSE
14819,773MH32-SG,NSE
14820,776UK33-SG,NSE
14844,789WB40-SG,NSE
14860,776TN53-SG,NSE
14871,USK-EQ,NSE
14938,GSEC10YEAR-EQ,NSE
14959,771AP33A-SG,NSE
15030,ASCOM-ST,NSE
1507,MOGSEC-EQ,NSE
15068,RELIGARE-EQ,NSE
15082,RADIOCITY-P1,NSE
15106,761TS44-SG,NSE
15126,SVLL-BE,NSE
15168,764IRFC31-NO,NSE
1530,INDIANHUME-EQ,NSE
15249,1003SFIL28-NX,NSE
15313,IRB-EQ,NSE
154,APCOTEXIND-EQ,NSE
1535,667TS50-SG,NSE
15419,DPSCLTD-EQ,NSE
15526,739AP33-SG,NSE
15578,737AP43-SG,NSE
158,67MH28-SG,NSE
15780,732AP43-SG,NSE
16029,732TN33-SG,NSE
16066,736AP34-SG,NSE
1610,GODHA-BE,NSE
16220,729HR29-SG,NSE
16227,732MH32-SG,NSE
165,674GA30-SG,NSE
1660,ITC-EQ,NSE
16249,INFIBEAM-EQ,NSE
16419,CRAYONS-SM,NSE
16641,729HP31-SG,NSE
16646,734RJ33A-SG,NSE
16649,736AP37-SG,NSE
167,67GJ30-SG,NSE
16782,734MH31-SG,NSE
16796,735TN33-SG,NSE
16803,741UP34-SG,NSE
16819,QNIFTY-EQ,NSE
16822,IKIO-EQ,NSE
16863,LPDC-EQ,NSE
16939,734TN43-SG,NSE
16988,742AP41-SG,NSE
170,67KA30-SG,NSE
16997,739TS51-SG,NSE
17022,MAWANASUG-EQ,NSE
17088,MAGSON-SM,NSE
17112,745TN43-SG,NSE
17145,AARTECH-EQ,NSE
17172,91SFL27-ZI,NSE
1720,JAYSREETEA-EQ,NSE
17251,743AP42-SG,NSE
17270,ASPINWALL-EQ,NSE
17333,MHRIL-EQ,NSE
1738,665TR35-SG,NSE
17395,SETF10GILT-EQ,NSE
17458,741MN35-SG,NSE
17514,SETCO-EQ,NSE
17546,925SCL28I-BA,NSE
17572,LIQUID-EQ,NSE
17598,ASALCBR-EQ,NSE
17613,SENSEXADD-EQ,NSE
17641,SUNTECK-EQ,NSE
17766,ZEAL-SM,NSE
1782,KANPRPLA-EQ,NSE
17841,743PN48A-SG,NSE
17869,JSWENERGY-EQ,NSE
18008,BPF02D3R-MF,NSE
17888,GATECH-EQ,NSE
18012,VLEGOV-EQ,NSE
18040,YUDIZ-SM,NSE
18049,MINDTECK-EQ,NSE
18081,749HR33-SG,NSE
18094,BPF02IWR-MF,NSE
18102,NIFTY1-EQ,NSE
18110,VASCONEQ-EQ,NSE
18124,DBREALTY-EQ,NSE
18173,BPF01QDR-MF,NSE
18220,KECL-EQ,NSE
18191,HFMPCC75DD-MF,NSE
18200,FISTIPD3QD-MF,NSE
1826,KAMATHOTEL-EQ,NSE
1833,663MN31-SG,NSE
18221,746MZ39-SG,NSE
18292,IVZINGOLD-EQ,NSE
1836,659RJ31-SG,NSE
18341,VPRPL-EQ,NSE
18388,FISTIPIP3G-MF,NSE
18405,745PN34A-SG,NSE
18451,SGBMAR28X-GB,NSE
18520,CUPID-EQ,NSE
1860,666JH34-SG,NSE
18537,746TS42-SG,NSE
18571,GNA-EQ,NSE
18628,9SCL26BA-NA,NSE
18630,SCLZC26-NB,NSE
18644,DIAMINESQ-EQ,NSE
18689,747CG30-SG,NSE
18694,745HR33-SG,NSE
18708,KEL-SM,NSE
18696,746GA33-SG,NSE
18700,JETKNIT-ST,NSE
18861,971SCL28C-BU,NSE
18948,KINGFA-BE,NSE
18962,RAJRATAN-EQ,NSE
18967,KAPSTON-EQ,NSE
18991,759MN35-SG,NSE
19015,MVGJL-EQ,NSE
19112,SAAKSHI-ST,NSE
19166,759HR35-SG,NSE
1920,SGBJAN29IX-GB,NSE
1922,KOTAKBANK-EQ,NSE
19180,754CG31-SG,NSE
19234,LAURUSLABS-EQ,NSE
193,ARVIND-EQ,NSE
19253,ARABIAN-SM,NSE
19356,GOYALSALT-SM,NSE
19447,CAPTRUST-EQ,NSE
1950,66KA37-SG,NSE
19496,SECMARK-EQ,NSE
19501,TICL-EQ,NSE
19517,772ML31-SG,NSE
19522,77BR31-SG,NSE
19538,766AP37-SG,NSE
19597,IRMENERGY-EQ,NSE
1,GOLDSTAR-SM,NSE
1012,676MP40-SG,NSE
10181,BALKRISHNA-EQ,NSE
10203,793AP33-SG,NSE
10207,793TS35-SG,NSE
10234,765TN29-SG,NSE
10246,782AS32-SG,NSE
10206,794AP34-SG,NSE
10268,804PN42-SG,NSE
10350,CSLFINANCE-EQ,NSE
10358,DGCONTENT-BE,NSE
10357,783AS32-SG,NSE
10366,UNIVAFOODS-BE,NSE
10367,78GJ32A-SG,NSE
1044,AXISBNKETF-EQ,NSE
10393,801WB41-SG,NSE
10406,STEELCITY-EQ,NSE
10452,764TN29-SG,NSE
10460,78TN32A-SG,NSE
10470,782SK32-SG,NSE
10477,806JK37-SG,NSE
10479,797HR42-SG,NSE
10545,784TS36-SG,NSE
10558,782PN42-SG,NSE
10578,MPSLTD-EQ,NSE
10640,795HR37-SG,NSE
10647,774AP31-SG,NSE
10652,777HR32-SG,NSE
1075,65GJ30-SG,NSE
10684,SHAIVAL-ST,NSE
10720,76TN32-SG,NSE
1083,661RJ30-SG,NSE
10761,SILVERADD-EQ,NSE
10836,SEYAIND-BE,NSE
10847,771AP39-SG,NSE
10955,745HR32-SG,NSE
10963,745AP42-SG,NSE
10967,VIVIANA-SM,NSE
11027,INFOBEAN-EQ,NSE
11217,TEAMGTY-BE,NSE
11220,VARDHACRLC-EQ,NSE
11260,HDFCVALUE-EQ,NSE
11301,LUXIND-EQ,NSE
11356,87SCL27-Z6,NSE
11399,SALZERELEC-EQ,NSE
11424,77KL47-SG,NSE
1153,GLAXO-EQ,NSE
11467,QMSMEDI-SM,NSE
11492,SWASTIK-SM,NSE
11496,AMBICAAGAR-EQ,NSE
1156,GLFL-EQ,NSE
11538,HDFCMOMENT-EQ,NSE
11588,741GJ26-SG,NSE
1160,654RJ30A-SG,NSE
11607,774WB39-SG,NSE
11619,GOLDENTOBC-BZ,NSE
11655,JBMA-EQ,NSE
11682,785BR32A-SG,NSE
11683,783GA32-SG,NSE
11770,78KL45-SG,NSE
1185,AMBER-EQ,NSE
11779,ACEINTEG-EQ,NSE
11854,915SCL27A-ZL,NSE
11869,787HP35-SG,NSE
11915,YESBANK-EQ,NSE
11987,ICIL-EQ,NSE
12032,FIVESTAR-EQ,NSE
12034,BASML-EQ,NSE
12057,UTIRFP35P1-MF,NSE
12321,763TS43-SG,NSE
1253,67JK32-SG,NSE
12643,OSIAHYPER-BE,NSE
12667,76GJ32-SG,NSE
12710,763KA42-SG,NSE
12989,BAHETI-SM,NSE
13049,759KA38-SG,NSE
13091,EKC-EQ,NSE
13117,757HP32-SG,NSE
13147,PVRINOX-EQ,NSE
13150,UTIDAP35P2-MF,NSE
13218,SULA-EQ,NSE
13252,769MN34-SG,NSE
13321,ORTEL-BZ,NSE
13366,755GJ30-SG,NSE
13375,763KL32-SG,NSE
13392,77JK37-SG,NSE
13477,87SCL25-ZV,NSE
13484,98SCL27-ZX,NSE
13491,JKLAKSHMI-EQ,NSE
13497,965SCL25C-N0,NSE
13540,HDFC1204DG-MF,NSE
13560,GRINDWELL-EQ,NSE
13536,VIDHIING-EQ,NSE
13644,BANKETFADD-EQ,NSE
13648,TALBROAUTO-EQ,NSE
1368,66MN30-SG,NSE
13665,SFMP74DD-MF,NSE
13671,MADHUCON-EQ,NSE
13675,NRL-EQ,NSE
13719,759TS37-SG,NSE
13721,759TS40-SG,NSE
1378,668AP33-SG,NSE
13775,AARVEEDEN-BE,NSE
13816,LTFOODS-EQ,NSE
13845,875IIFL26A-NQ,NSE
13881,765RJ33-SG,NSE
13897,769MZ37-SG,NSE
13915,764HR31-SG,NSE
13948,UTIRGR35P3-MF,NSE
14036,940SFIL28-NN,NSE
14107,76GJ35-SG,NSE
14087,763JH30-SG,NSE
14102,767UK33-SG,NSE
14116,GANDHITUBE-EQ,NSE
14162,766UP33-SG,NSE
14164,762PY35-SG,NSE
14194,NINSYS-EQ,NSE
14228,IMC1-N3,NSE
14230,HDFCBSE500-EQ,NSE
14252,SGBOCT27VI-GB,NSE
14277,759MP38-SG,NSE
14280,753TN53-SG,NSE
14319,TFL-EQ,NSE
14325,VIAZ-ST,NSE
14327,HDFC2638RG-MF,NSE
14330,HDFC2638RD-MF,NSE
14376,774UK33-SG,NSE
1442,SANOFI-EQ,NSE
14413,PAGEIND-EQ,NSE
14485,THEMISMED-EQ,NSE
1455,BIRLANU-EQ,NSE
14503,VERTEXPLUS-ST,NSE
14557,AROGRANITE-EQ,NSE
14567,BFUTILITIE-EQ,NSE
14628,FSC-BZ,NSE
14635,766HR29-SG,NSE
14639,772MH32-SG,NSE
14647,778TS34-SG,NSE
14660,774TS48-SG,NSE
14672,NAVINFLUOR-EQ,NSE
14687,GOACARBON-EQ,NSE
14733,HFMPM23DQD-MF,NSE
14747,011NSETEST-EQ,NSE
14767,081NSETEST-EQ,NSE
14769,091NSETEST-EQ,NSE
14853,OMAXE-EQ,NSE
14942,NAGREEKCAP-EQ,NSE
14954,76AP29-SG,NSE
14958,77AP32-SG,NSE
15021,758NL33-SG,NSE
1516,654GA30A-SG,NSE
15193,BGRENERGY-BE,NSE
15234,AMBIKCO-EQ,NSE
15248,KAVDEFENCE-BE,NSE
15259,RPOWER-EQ,NSE
15262,741AP30-SG,NSE
15271,CORDSCABLE-EQ,NSE
15314,745UP33-SG,NSE
15337,RAIN-EQ,NSE
15356,GOLDETFADD-EQ,NSE
15409,NESCO-EQ,NSE
1547,RKEC-EQ,NSE
15449,DENEERS-SM,NSE
15572,738AP40-SG,NSE
1572,RVHL-BE,NSE
1570,GMMPFAUDLR-EQ,NSE
15883,HINDWAREAP-EQ,NSE
