symbol,exch_seg,token
684MZ34-SG,NSE,1090
OMAXAUTO-EQ,NSE,10922
DIVISLAB-EQ,NSE,10940
ARE&M-EQ,NSE,100
SFMP6DD-MF,NSE,10051
794HR34-SG,NSE,10205
793AP33-SG,NSE,10203
794TS36-SG,NSE,10212
SGBJUN27-GB,NSE,10261
765GJ29-SG,NSE,10233
795AP39-SG,NSE,10215
795TS35-SG,NSE,10382
794PN42-SG,NSE,10333
SKP-SM,NSE,10325
MUTHOOTCAP-EQ,NSE,10415
RAMRAT-EQ,NSE,10485
H1158D46DG-MF,NSE,10500
H1158D46DD-MF,NSE,10499
H1158D46RG-MF,NSE,10505
MOHEALTH-EQ,NSE,10508
CONS-EQ,NSE,10512
765BR32-SG,NSE,10529
785KL35-SG,NSE,10532
773GJ32-SG,NSE,10648
726GS2032-GS,NSE,10722
765BR32A-SG,NSE,10721
FOSECOIND-EQ,NSE,1073
HIGHWAYS-IV,NSE,10757
771KL42-SG,NSE,10845
ZENSARTECH-EQ,NSE,1076
HDFC1406DQ-MF,NSE,10840
HDFC1406RD-MF,NSE,10841
66UP30-SG,NSE,1086
753BR32-SG,NSE,10923
SABAR-ST,NSE,10985
TAPIFRUIT-SM,NSE,10986
757JK34-SG,NSE,11096
NATHBIOGEN-EQ,NSE,11065
SECURKLOUD-BE,NSE,11062
SGBJUL27-GB,NSE,11154
1050UCL25-N7,NSE,11230
HARSHA-EQ,NSE,11162
768PN42-SG,NSE,11276
764MH32-SG,NSE,11285
PETRONET-EQ,NSE,11351
GTECJAINX-EQ,NSE,1129
774RJ42-SG,NSE,11418
DATAMATICS-EQ,NSE,11423
PILANIINVS-EQ,NSE,11445
AMBICAAGAR-EQ,NSE,11496
CMRSL-SM,NSE,11447
HDFCLOWVOL-EQ,NSE,11547
785UK32-SG,NSE,11510
785PN42-SG,NSE,11515
763ML25-SG,NSE,11675
NEWGEN-EQ,NSE,1164
GUFICBIO-EQ,NSE,11606
NARMADA-EQ,NSE,11627
JPPOWER-EQ,NSE,11763
NH-EQ,NSE,11840
MANGALAM-EQ,NSE,11817
WELCORP-EQ,NSE,11821
AMBER-EQ,NSE,1185
915SCL27A-ZL,NSE,11854
955SCL27A-ZJ,NSE,11843
GRANULES-EQ,NSE,11872
782SK32A-SG,NSE,11878
767AS32-SG,NSE,11980
JSWHL-BE,NSE,11883
NECLIFE-EQ,NSE,11927
532CG25-SG,NSE,1209
768BR32-SG,NSE,11985
SATINDLTD-EQ,NSE,12015
768HR31-SG,NSE,12295
65GJ30A-SG,NSE,1233
ZIMLAB-EQ,NSE,12384
658UP30-SG,NSE,1239
666KA32-SG,NSE,1248
CAGL27A-N6,NSE,12471
SFMP72GD-MF,NSE,12561
757HR30-SG,NSE,12664
762GA32-SG,NSE,12678
763KL43-SG,NSE,12726
TEAMLEASE-EQ,NSE,12716
SAFARI-EQ,NSE,13035
761JK42-SG,NSE,13135
763KA39-SG,NSE,13128
PVRINOX-EQ,NSE,13147
UTIDFP35P2-MF,NSE,13152
76KA32-SG,NSE,13245
INDOTECH-EQ,NSE,13275
GSPL-EQ,NSE,13197
ENIL-EQ,NSE,13192
LANDMARK-EQ,NSE,13276
M&MFIN-EQ,NSE,13285
AFSL-EQ,NSE,13288
763PY32-SG,NSE,13382
766TS34-SG,NSE,13387
767TS35-SG,NSE,13389
BHAGERIA-EQ,NSE,13400
SUNTV-EQ,NSE,13404
OMKARCHEM-BZ,NSE,13515
RATNAMANI-EQ,NSE,13451
BALPHARMA-EQ,NSE,13441
SHYAMTEL-EQ,NSE,13740
JMFINANCIL-EQ,NSE,13637
DUCOL-SM,NSE,13766
TORNTPOWER-EQ,NSE,13786
GESHIP-EQ,NSE,13776
AARVEEDEN-BE,NSE,13775
855IREDA29-N2,NSE,1380
674TS50-SG,NSE,1386
KUANTUM-EQ,NSE,13870
GREENPANEL-EQ,NSE,13810
MMFL-EQ,NSE,13844
764HR31-SG,NSE,13915
CREST-EQ,NSE,13900
HIRECT-EQ,NSE,13890
NFL-EQ,NSE,13925
PLASTIBLEN-EQ,NSE,13920
ARISTO-SM,NSE,13926
UTIRAP35P3-MF,NSE,13946
773RJ38-SG,NSE,13979
772MP38-SG,NSE,13977
TANLA-EQ,NSE,13976
HBLENGINE-EQ,NSE,13966
764TS33-SG,NSE,14097
SANGHVIMOV-EQ,NSE,14058
SAGCEM-EQ,NSE,14068
772BR33-SG,NSE,14161
771AS33-SG,NSE,14160
SBGLP-BE,NSE,14141
MHHL-SM,NSE,1426
ORIENTALTL-EQ,NSE,14346
HDFC2638RQ-MF,NSE,14332
769PN39-SG,NSE,14381
769MP43-SG,NSE,14352
GODREJAGRO-EQ,NSE,144
POCL-EQ,NSE,14385
UTIRGR36P1-MF,NSE,14399
772TS46-SG,NSE,14452
777JK35-SG,NSE,14437
777MP43-SG,NSE,14451
NAHARPOLY-EQ,NSE,14445
772AS33-SG,NSE,14539
NCLIND-EQ,NSE,14490
THEMISMED-EQ,NSE,14485
SYSTANGO-SM,NSE,14506
PSUBNKIETF-EQ,NSE,14584
BIRLANU-EQ,NSE,1455
SGBMAR31IV-GB,NSE,14598
CHEMBOND-BE,NSE,14620
QFIL-SM,NSE,14613
774WB41-SG,NSE,14655
774WB43-SG,NSE,14658
77AP30A-SG,NSE,14636
774PN39-SG,NSE,14653
774RJ49-SG,NSE,14663
TIMETECHNO-EQ,NSE,14707
NIRMAN-ST,NSE,14725
NAGREEKEXP-EQ,NSE,14702
111NSETEST-EQ,NSE,14774
081NSETEST-EQ,NSE,14767
161NSETEST-EQ,NSE,14784
ADVANIHOTR-EQ,NSE,14745
783KL39-SG,NSE,14840
777MP47-SG,NSE,14850
SPARC-EQ,NSE,14788
ABSLFTUJDG-MF,NSE,14794
SGBSEP28VI-GB,NSE,149
MOTILALOFS-EQ,NSE,14947
USK-EQ,NSE,14871
759PN33-SG,NSE,15019
SOTAC-SM,NSE,14993
ASCOM-ST,NSE,15030
INDHOTEL-EQ,NSE,1512
735IRFC31-NM,NSE,15112
INDIACEM-EQ,NSE,1515
MADHAV-EQ,NSE,15151
BRIGADE-EQ,NSE,15184
ARIES-EQ,NSE,15204
652KA30-SG,NSE,1522
DVL-EQ,NSE,15214
BIRLAMONEY-BE,NSE,15243
866SFIL23A-NY,NSE,15251
746KL48-SG,NSE,15324
BANG-EQ,NSE,15303
GSS-EQ,NSE,15347
SEPC-EQ,NSE,15308
GOLDETFADD-EQ,NSE,15356
PDMJEPAPER-BE,NSE,15406
ATAM-EQ,NSE,15404
CIFCZC28A-N5,NSE,15376
738AP40-SG,NSE,15572
HCG-EQ,NSE,15555
735AP39-SG,NSE,15759
733NL33-SG,NSE,16035
GILLETTE-EQ,NSE,1576
737AP33-SG,NSE,16290
736MP33-SG,NSE,16229
LINDEINDIA-EQ,NSE,1627
PANACHE-BE,NSE,16355
663TN35-SG,NSE,1652
729HP31-SG,NSE,16641
732KL53-SG,NSE,16398
67GJ30-SG,NSE,167
733AP33-SG,NSE,16647
PTCIL-EQ,NSE,16682
735TN33-SG,NSE,16796
735MH32-SG,NSE,16785
ALMONDZ-EQ,NSE,16719
741PN34-SG,NSE,16804
KOKUYOCMLN-EQ,NSE,16827
81TCHF28-N8,NSE,16870
IVP-EQ,NSE,1681
74AP32-SG,NSE,16923
20MICRONS-EQ,NSE,16921
SFMP6GD-MF,NSE,10055
68JK35-SG,NSE,1009
68TS50-SG,NSE,1018
795AP38-SG,NSE,10214
782AS32-SG,NSE,10246
79TS44-SG,NSE,10271
792TS45-SG,NSE,10272
792AP42A-SG,NSE,10257
782SK32-SG,NSE,10470
781HR32A-SG,NSE,10331
PKTEA-EQ,NSE,10321
515GS2025-GS,NSE,1054
804AP37-SG,NSE,10471
774MZ33-SG,NSE,10540
SADBHIN-EQ,NSE,10618
LOYALTEX-BE,NSE,10605
USASEEDS-SM,NSE,10610
NAVKARCORP-EQ,NSE,10557
775TN32-SG,NSE,10651
772AP35-SG,NSE,10718
777RJ32-SG,NSE,10638
PNB-EQ,NSE,10666
766UP32-SG,NSE,10771
OAL-EQ,NSE,10768
MOQUALITY-EQ,NSE,10822
774TS45-SG,NSE,10783
647KA30-SG,NSE,1080
771AP42-SG,NSE,10846
762BR32-SG,NSE,10854
753HR30-SG,NSE,10855
GRMOVER-EQ,NSE,10871
SFMP64GD-MF,NSE,10881
DBOL-BE,NSE,10895
AMEYA-SM,NSE,10898
GODREJIND-EQ,NSE,10925
748HP33-SG,NSE,10958
749HP34-SG,NSE,10959
STCINDIA-EQ,NSE,10948
TMB-EQ,NSE,10945
68TS50A-SG,NSE,1098
INFOBEAN-EQ,NSE,11027
RADICO-EQ,NSE,10990
GARFIBRES-EQ,NSE,1100
756WB39-SG,NSE,11159
INDIGO-EQ,NSE,11195
755AS32-SG,NSE,11095
LIBAS-EQ,NSE,11082
DCMNVL-EQ,NSE,11039
HDFCQUAL-EQ,NSE,11255
TVTODAY-EQ,NSE,11275
IDFCFIRSTB-EQ,NSE,11184
768UP32-SG,NSE,11289
768WB32-SG,NSE,11291
778MZ37-SG,NSE,11294
SIL-EQ,NSE,11297
PVTBANIETF-EQ,NSE,11386
BIOCON-EQ,NSE,11373
TTKHLTCARE-EQ,NSE,11369
TIPSFILMS-EQ,NSE,11374
ZOTA-EQ,NSE,11394
XPROINDIA-EQ,NSE,11407
UMANGDAIRY-EQ,NSE,11387
649KA30A-SG,NSE,1158
APARINDS-EQ,NSE,11491
TRACXN-EQ,NSE,11582
781UP34-SG,NSE,11603
66AS30-SG,NSE,1163
DWARKESH-EQ,NSE,11667
NTPC-EQ,NSE,11630
ALLDIGI-EQ,NSE,11798
PRIMESECU-EQ,NSE,11864
89SCL24A-ZM,NSE,11857
714NHAI26-N7,NSE,11949
735NHAI31-N9,NSE,11954
FUSION-EQ,NSE,11932
KANSAINER-EQ,NSE,1196
RENUKA-EQ,NSE,12026
UTIDAP35P1-MF,NSE,12039
635MH28-SG,NSE,1212
AARTISURF-P1,NSE,12121
77HR34-SG,NSE,12303
659RJ30A-SG,NSE,1241
67JK32-SG,NSE,1253
MBAPL-EQ,NSE,12686
ROUTE-EQ,NSE,128
G1NSETEST-EQ,NSE,12842
VIMTALABS-EQ,NSE,13101
KERNEX-EQ,NSE,13121
UTIRAP35P2-MF,NSE,13156
765GA32-SG,NSE,13243
ROHLTD-EQ,NSE,13182
UTIRQP35P2-MF,NSE,13164
769MN34-SG,NSE,13252
CENTURYPLY-EQ,NSE,13305
UMA-SM,NSE,13349
762AR32-SG,NSE,13372
763KL32-SG,NSE,13375
MALUPAPER-EQ,NSE,13352
ELIN-EQ,NSE,13423
KAMDHENU-EQ,NSE,13457
955SCL25-ZU,NSE,13465
905SCL25-ZT,NSE,13460
GRINDWELL-EQ,NSE,13560
NECCLTD-EQ,NSE,13522
SHIVAUM-ST,NSE,13471
HOVS-EQ,NSE,13592
ANDHRSUGAR-EQ,NSE,136
RADIANTCMS-EQ,NSE,13580
IRCTC-EQ,NSE,13611
BINANIIND-BE,NSE,13622
SFMP74DR-MF,NSE,13670
SHIVAMAUTO-EQ,NSE,13756
GOLDKART-ST,NSE,13701
ACLGATI-EQ,NSE,13688
SFMP74GR-MF,NSE,13674
755TS30-SG,NSE,13770
IIFLZC28A-NU,NSE,13858
765TN33-SG,NSE,13874
763GJ32-SG,NSE,13916
769AP35-SG,NSE,13878
76KL45-SG,NSE,13911
765TN53-SG,NSE,13997
766AP32-SG,NSE,13958
UTIRGR35P3-MF,NSE,13948
10IFSL26-N7,NSE,14049
GRCL-SM,NSE,14052
1030SFIL26-NJ,NSE,14028
766BR33-SG,NSE,14098
764MP33-SG,NSE,14093
GANDHITUBE-EQ,NSE,14116
762PY35-SG,NSE,14164
NSLNISP-EQ,NSE,14180
759HP38-SG,NSE,14276
REDINGTON-EQ,NSE,14255
753TN53-SG,NSE,14280
HSCL-EQ,NSE,14334
HDFC2638DG-MF,NSE,14335
771GJ33-SG,NSE,14374
668KA36-SG,NSE,1437
AMDIND-EQ,NSE,14398
77MH31-SG,NSE,14424
SANOFI-EQ,NSE,1442
671WB40-SG,NSE,1443
771GJ34-SG,NSE,14432
77MH33-SG,NSE,14425
775UP35-SG,NSE,14441
671TS40-SG,NSE,1446
LEXUS-EQ,NSE,14459
DIVGIITTS-EQ,NSE,14479
704NHAI26-NB,NSE,14497
HLVLTD-EQ,NSE,1448
BFUTILITIE-EQ,NSE,14567
778TS34-SG,NSE,14647
777RJ33-SG,NSE,14642
773MH34-SG,NSE,14645
ACCURACY-EQ,NSE,1465
774MP43-SG,NSE,14656
GUJAPOLLO-EQ,NSE,14677
990SCFL26-AJ,NSE,14696
051NSETEST-EQ,NSE,14758
101NSETEST-EQ,NSE,14772
141NSETEST-EQ,NSE,14781
775SK33-SG,NSE,14822
ABSLFTUJRG-MF,NSE,14802
776TN53-SG,NSE,14860
797PN38-SG,NSE,14836
OMAXE-EQ,NSE,14853
776KL58-SG,NSE,14861
NAGREEKCAP-EQ,NSE,14942
POWERGRID-EQ,NSE,14977
F13RP-MF,NSE,14949
CERA-EQ,NSE,15039
MOGSEC-EQ,NSE,1507
654GA30A-SG,NSE,1516
INDIAGLYCO-EQ,NSE,1521
656UP30-SG,NSE,1525
CEATLTD-EQ,NSE,15254
HERCULES-EQ,NSE,15288
746TS48A-SG,NSE,15333
INDIANHUME-EQ,NSE,1530
NESCO-EQ,NSE,15409
NAHARCAP-EQ,NSE,15360
716HR27-SG,NSE,15966
734AS33-SG,NSE,16019
732TN53-SG,NSE,16274
736ML32-SG,NSE,16289
IONEXCHANG-EQ,NSE,1630
REMUS-SM,NSE,16154
663KA34-SG,NSE,1651
MMP-EQ,NSE,16395
INFOLLION-SM,NSE,16588
729CG30-SG,NSE,16640
ITC-EQ,NSE,1660
729TN53-SG,NSE,16656
733AP42-SG,NSE,16653
RPGLIFE-EQ,NSE,16725
SILVRETF-EQ,NSE,16777
737NL33A-SG,NSE,16802
VINYLINDIA-EQ,NSE,16821
73GS2053-GS,NSE,16865
SINDHUTRAD-EQ,NSE,16859
LPDC-EQ,NSE,16863
EMAMIPAP-EQ,NSE,10074
SCHAEFFLER-EQ,NSE,1011
781TN52-SG,NSE,10190
793TS34-SG,NSE,10204
785AS32-SG,NSE,10197
785MP32-SG,NSE,10198
SHYAMCENT-BE,NSE,10192
765TN29-SG,NSE,10234
794AP34-SG,NSE,10206
SYNGENE-EQ,NSE,10243
782WB32-SG,NSE,10252
AYMSYNTEX-EQ,NSE,10285
802WB37-SG,NSE,10384
802AP38-SG,NSE,10383
AURUM-EQ,NSE,10310
DGCONTENT-EQ,NSE,10346
AXISBNKETF-EQ,NSE,1044
807WB38-SG,NSE,10478
KSHITIJPOL-EQ,NSE,10407
SFMP6DR-MF,NSE,10052
UTINIFTETF-EQ,NSE,10511
757HP31-SG,NSE,10526
767NL32-SG,NSE,10541
797RJ42-SG,NSE,10480
GODREJCP-EQ,NSE,10099
BALKRISHNA-EQ,NSE,10181
796WB37-SG,NSE,10213
784TS36-SG,NSE,10545
SGBJUN30-GB,NSE,10232
789HP37-SG,NSE,10551
795AP40-SG,NSE,10216
KAYA-EQ,NSE,10276
787TN33-SG,NSE,10338
AARON-EQ,NSE,1030
KCK-SM,NSE,10293
802MZ36-SG,NSE,10374
RADHIKAJWE-EQ,NSE,10343
FINCABLES-EQ,NSE,1038
DYCL-EQ,NSE,10417
SHAREINDIA-EQ,NSE,104
FINPIPE-EQ,NSE,1041
781HR32B-SG,NSE,10461
781RJ32-SG,NSE,10462
LUPIN-EQ,NSE,10440
UNITDSPR-EQ,NSE,10447
806JK37-SG,NSE,10477
H1158D46RD-MF,NSE,10503
764TN32-SG,NSE,10544
761GJ32-SG,NSE,10531
768AS32-SG,NSE,10528
782PN42-SG,NSE,10558
MPSLTD-EQ,NSE,10578
777HR32-SG,NSE,10652
793RJ45-SG,NSE,10645
VEEKAYEM-SM,NSE,10710
SILVERADD-EQ,NSE,10761
65GJ30-SG,NSE,1075
762NTPC35F-ND,NSE,10751
OFSS-EQ,NSE,10738
774TS46-SG,NSE,10784
765AS32-SG,NSE,10765
661RJ30-SG,NSE,1083
747TS31-SG,NSE,10904
745AP40-SG,NSE,10962
758PN42-SG,NSE,10907
746TS48-SG,NSE,10964
MARUTI-EQ,NSE,10999
INDORAMA-EQ,NSE,10993
AXISILVER-EQ,NSE,11193
AGRITECH-EQ,NSE,11072
SUMIT-EQ,NSE,11140
749GJ26-SG,NSE,11273
767HR32-SG,NSE,11284
TVSELECT-EQ,NSE,11265
772WB38-SG,NSE,11295
AFFLE-EQ,NSE,11343
93SCFL25-Z1,NSE,11335
905SCL27-Z4,NSE,11342
775GJ32-SG,NSE,11400
778MZ32-SG,NSE,11401
RKFORGE-EQ,NSE,11411
MAHABANK-EQ,NSE,11377
LICNETFSEN-EQ,NSE,11441
SPANDANA-EQ,NSE,11435
KRIDHANINF-BE,NSE,11488
LLOYDS-SM,NSE,11472
785AS32A-SG,NSE,11505
TCS-EQ,NSE,11536
ULTRACEMCO-EQ,NSE,11532
SWASTIK-SM,NSE,11492
HDFCMOMENT-EQ,NSE,11538
INDSWFTLTD-EQ,NSE,11602
HDFC1359RQ-MF,NSE,11565
HDFC1359DD-MF,NSE,11559
ASTRAMICRO-EQ,NSE,11618
GOLDENTOBC-BZ,NSE,11619
791UP37-SG,NSE,11697
795WB39-SG,NSE,11700
783TN42-SG,NSE,11704
787RJ40-SG,NSE,11701
786AP33-SG,NSE,11759
JINDALPHOT-EQ,NSE,11743
750IRFC35-NK,NSE,11757
GNFC-EQ,NSE,1174
784TS40-SG,NSE,11768
775AP29-SG,NSE,11760
783PN42-SG,NSE,11769
78KL45-SG,NSE,11770
787MZ36-SG,NSE,11873
SHOPERSTOP-EQ,NSE,11813
MANINDS-EQ,NSE,11884
GOLDIAM-EQ,NSE,11971
BASML-EQ,NSE,12034
653HP29-SG,NSE,1215
763TS43-SG,NSE,12321
774KA37-SG,NSE,12311
SOLEX-ST,NSE,1234
763KA37-SG,NSE,12692
PRITIKA-ST,NSE,12986
ABB-EQ,NSE,13
360ONE-EQ,NSE,13061
SFMP73GD-MF,NSE,13107
758BR32-SG,NSE,13113
767JH37-SG,NSE,13257
768KA34-SG,NSE,13254
HCL-INSYS-EQ,NSE,1327
755GJ30-SG,NSE,13366
ARIHANTACA-SM,NSE,13340
HEG-EQ,NSE,1336
767WB39-SG,NSE,13399
585GS2030-GS,NSE,1341
SGL-EQ,NSE,13367
LOKESHMACH-BE,NSE,13439
RSYSTEMS-EQ,NSE,13414
JKLAKSHMI-EQ,NSE,13491
939SCL27-ZZ,NSE,13492
764KL34-SG,NSE,13606
AVONMORE-BE,NSE,13566
RBMINFRA-ST,NSE,13578
BANKETFADD-EQ,NSE,13644
SGBDE30III-GB,NSE,13642
762UP35-SG,NSE,13778
754AP29-SG,NSE,13712
673PN40-SG,NSE,1382
764GA33-SG,NSE,13887
77HP36-SG,NSE,13896
767AS33-SG,NSE,13877
765HR30-SG,NSE,13957
757MH31-SG,NSE,13913
880IREDA34-N6,NSE,1393
SARLAPOLY-EQ,NSE,14043
1030SFIL28-NM,NSE,14034
76JK35-SG,NSE,14103
ASMS-EQ,NSE,14064
BAGFILMS-BE,NSE,14075
IGPL-EQ,NSE,14086
759TS40A-SG,NSE,14167
768GJ30-SG,NSE,14156
BTML-EQ,NSE,14150
66RJ30B-SG,NSE,1422
NINSYS-EQ,NSE,14194
HUBTOWN-EQ,NSE,14203
766GJ30-SG,NSE,14269
668MZ31-SG,NSE,1430
IMC1-N2,NSE,14224
769WB42-SG,NSE,14347
776MN35-SG,NSE,14379
GANESHHOUC-EQ,NSE,14339
ASTRAL-EQ,NSE,14418
SRIVASAVI-SM,NSE,14411
775UP38-SG,NSE,14442
775WB39-SG,NSE,14446
757TN53-SG,NSE,14455
771BR33-SG,NSE,14431
766MP48-SG,NSE,14559
NDLVENTURE-BE,NSE,14550
735GJ26-SG,NSE,14634
HILTON-EQ,NSE,14627
MCON-SM,NSE,14574
AXSENSEX-EQ,NSE,14742
091NSETEST-EQ,NSE,14769
971SCL28-AN,NSE,14718
1015SCL28A-AL,NSE,14710
GOLD1-EQ,NSE,14858
AKI-BE,NSE,14895
729GR2033-GS,NSE,14973
INDOWIND-EQ,NSE,14952
F13DG-MF,NSE,14946
SVLL-EQ,NSE,15121
729IRFC26-NN,NSE,15134
MANAKSIA-EQ,NSE,15199
66ML30-SG,NSE,1528
RPOWER-EQ,NSE,15259
745UP33-SG,NSE,15314
668WB35-SG,NSE,1532
VIRINCHI-EQ,NSE,15295
840CIFCL28-N4,NSE,15374
GMMPFAUDLR-EQ,NSE,1570
RKEC-EQ,NSE,1547
RACE-EQ,NSE,15391
RVHL-EQ,NSE,1565
729HR29-SG,NSE,16220
729KL49-SG,NSE,16092
TARC-EQ,NSE,1581
737SK33-SG,NSE,16239
739MN35-SG,NSE,16250
737NL33-SG,NSE,16235
INFIBEAM-EQ,NSE,16249
APOLLOTYRE-EQ,NSE,163
IPCALAB-EQ,NSE,1633
CRAYONS-ST,NSE,16442
PROV-SM,NSE,16483
669TS40-SG,NSE,1655
718GJ28-SG,NSE,16651
732HR33-SG,NSE,16648
SUNDROP-EQ,NSE,1663
GHCLTEXTIL-EQ,NSE,16696
736GA33-SG,NSE,16797
DREDGECORP-EQ,NSE,11271
JAIBALAJI-EQ,NSE,11256
URBAN-ST,NSE,16917
769GA32-SG,NSE,11283
675KA35-SG,NSE,1006
UPL-EQ,NSE,11287
APOLLO-EQ,NSE,1134
781UP32-SG,NSE,11408
905SC24B-Z9,NSE,11368
SFMP6GR-MF,NSE,10060
HDFCSENSEX-EQ,NSE,11593
762GJ29-SG,NSE,11589
804PN42-SG,NSE,10268
GULFPETRO-EQ,NSE,11581
782GJ32-SG,NSE,10196
753AS27-SG,NSE,10195
ADANIENSOL-EQ,NSE,10217
774GA32-SG,NSE,11597
774HR29-SG,NSE,11676
79NHIT40-N2,NSE,11665
782TN32-SG,NSE,11693
79HR34-SG,NSE,10332
781HR32C-SG,NSE,11690
803AP36-SG,NSE,10355
797AP39-SG,NSE,10336
784AS32-SG,NSE,11679
CSLFINANCE-EQ,NSE,10350
707IRFC25-NF,NSE,11722
776HR30-SG,NSE,11867
SURYALAXMI-EQ,NSE,11852
CONSOFINVT-EQ,NSE,11731
CYBERMEDIA-BE,NSE,11845
779AP31-SG,NSE,10458
785PN32-SG,NSE,10394
JISLJALEQS-EQ,NSE,10397
OSEINTRUST-IV,NSE,10435
786JH34-SG,NSE,11885
784HP37-SG,NSE,11874
787HP34-SG,NSE,11886
VHL-EQ,NSE,11892
777GJ32-SG,NSE,10459
ESG-EQ,NSE,1200
767KA32-SG,NSE,11984
782NL32-SG,NSE,10463
SPLIL-BE,NSE,11938
DCXINDIA-EQ,NSE,11895
H1158D46DQ-MF,NSE,10501
UTIRFP35P1-MF,NSE,12057
UTIDMP35P1-MF,NSE,12041
NIFTYBEES-EQ,NSE,10576
797AP36-SG,NSE,10639
OLECTRA-EQ,NSE,10637
HDFCPVTBAN-EQ,NSE,12108
HDFCNIFIT-EQ,NSE,12101
HNDFDS-EQ,NSE,12173
SHAIVAL-ST,NSE,10684
76TN32-SG,NSE,10720
SPORTKING-EQ,NSE,10733
739ML26-SG,NSE,12289
77BR32-SG,NSE,12300
769GA32A-SG,NSE,12301
664AS30-SG,NSE,1246
10CAGL27-N5,NSE,12465
753NTPC30E-NC,NSE,10749
NUCLEUS-EQ,NSE,10791
APTECHT-EQ,NSE,10755
SFMP72DD-MF,NSE,12545
673TS50-SG,NSE,1256
MOVALUE-EQ,NSE,10825
758AP42-SG,NSE,10913
764AP33-SG,NSE,12689
GENESYS-EQ,NSE,10905
GFLLIMITED-EQ,NSE,1289
746TS49-SG,NSE,10965
675KA34-SG,NSE,1092
746MP32-SG,NSE,10957
97SFL26-Z9,NSE,12933
SFLZC26A-ZC,NSE,12941
BAHETI-SM,NSE,12989
ISHAN-ST,NSE,11013
SATIA-EQ,NSE,11045
UNIPARTS-EQ,NSE,13057
QUICKHEAL-EQ,NSE,13116
ORIENTCER-EQ,NSE,13111
SFMP73DR-MF,NSE,13103
COFFEEDAY-BE,NSE,11169
SHK-EQ,NSE,11212
NOIDATOLL-BE,NSE,11214
MAKS-ST,NSE,11222
755GA32-SG,NSE,13124
REPRO-EQ,NSE,13126
GALAXYSURF-EQ,NSE,1315
UTIRMP35P2-MF,NSE,13163
769BR32-SG,NSE,11282
UCOBANK-EQ,NSE,11223
NSIL-EQ,NSE,11239
JSL-EQ,NSE,11236
COMMOIETF-EQ,NSE,13198
NITINSPIN-EQ,NSE,13175
LICNETFN50-EQ,NSE,11319
765RJ32A-SG,NSE,11288
JKCEMENT-EQ,NSE,13270
865SCL24B-Z8,NSE,11365
761TN32A-SG,NSE,13379
76KA32A-SG,NSE,13374
KEI-EQ,NSE,13310
