symbol,token,exch_seg
74TS45-SG,16994,NSE
THYROCARE-EQ,17032,NSE
HMAAGRO-EQ,17053,NSE
743TS50-SG,17115,NSE
745HP33-SG,17118,NSE
TRIDHYA-SM,17210,NSE
742TN33-SG,17221,NSE
665TS40-SG,1742,NSE
ARMANFIN-EQ,17263,NSE
BANKETF-EQ,17419,NSE
INCREDIBLE-EQ,17507,NSE
MAHASTEEL-EQ,17527,NSE
EXPLEOSOL-EQ,17486,NSE
893NHB29-N6,1765,NSE
749RJ34-SG,17652,NSE
DEN-EQ,17722,NSE
ATL-EQ,17778,NSE
744TN33B-SG,17835,NSE
SBICARD-EQ,17971,NSE
BPF02D4R-MF,18010,NSE
KAKATCEM-EQ,1811,NSE
KABRAEXTRU-EQ,1805,NSE
SSFL-SM,18056,NSE
DBREALTY-EQ,18124,NSE
KPIL-EQ,1814,NSE
YASHO-EQ,18131,NSE
BPF01D3R-MF,18168,NSE
BPF01MDR-MF,18171,NSE
IF3DPD-MF,18174,NSE
FISTIP3WDP-MF,18197,NSE
FISTIPD3MD-MF,18199,NSE
749UP34-SG,18210,NSE
747KL37-SG,18215,NSE
663MN31-SG,1833,NSE
KANORICHEM-EQ,1835,NSE
KCP-EQ,1841,NSE
SANDUMA-EQ,18359,NSE
747UK33-SG,18402,NSE
CAGL26-NA,18473,NSE
JLHL-EQ,18553,NSE
MITTAL-EQ,18562,NSE
RRKABEL-EQ,18566,NSE
SCLZC26-NB,18630,NSE
9SCL26B-ND,18634,NSE
664AP39-SG,1866,NSE
744AP36-SG,18681,NSE
741WB42-SG,18686,NSE
74GJ27-SG,18688,NSE
746GA33-SG,18696,NSE
746SK33-SG,18701,NSE
NUVAMA-EQ,18721,NSE
KALAMANDIR-EQ,18755,NSE
579GS2030-GS,18857,NSE
743RJ49-SG,18916,NSE
748MP29-SG,18923,NSE
AARVI-EQ,19073,NSE
SGBJUN28-GB,19078,NSE
HMVL-EQ,19211,NSE
KONTOR-SM,19287,NSE
VISHNUINFR-SM,19300,NSE
661KA33-SG,1944,NSE
PROLIFE-SM,19352,NSE
762GJ28-SG,19480,NSE
66KA37-SG,1950,NSE
PLADAINFO-SM,19492,NSE
756JK53-SG,19521,NSE
764KA32-SG,19523,NSE
IITL-EQ,19525,NSE
765TS39-SG,19550,NSE
737GS2028-GS,19566,NSE
773MN35-SG,19611,NSE
733GS2026-GS,19685,NSE
ONDOOR-SM,19692,NSE
773KA35-SG,19721,NSE
GPPL-EQ,19731,NSE
768TN30A-SG,19745,NSE
AMNPLST-EQ,19867,NSE
760PFCL35-N3,19976,NSE
866IIFC34B-N3,20056,NSE
SCLZC26D-NO,20082,NSE
925SCL25G-NY,20125,NSE
718AS30-SG,20146,NSE
69GA30-SG,20148,NSE
725GR2028-GS,20151,NSE
69KA30-SG,20154,NSE
77MH33A-SG,20172,NSE
772AP38-SG,20183,NSE
767KA36-SG,20222,NSE
JWL-EQ,20224,NSE
756JK48-SG,20230,NSE
765HR33B-SG,20240,NSE
768AR33-SG,20244,NSE
SHANKARA-EQ,20321,NSE
775UP34-SG,20351,NSE
773AP32A-SG,20391,NSE
771AP31-SG,20472,NSE
771HR33A-SG,20475,NSE
771KA36-SG,20478,NSE
ACCENTMIC-ST,20496,NSE
720AR30-SG,20518,NSE
GRAVITA-EQ,20534,NSE
BAJEL-EQ,20531,NSE
SJLOGISTIC-SM,20542,NSE
ASHIMASYN-EQ,206,NSE
INDIASHLTR-EQ,20556,NSE
820TPL26-N2,20617,NSE
TPL26-N3,20622,NSE
755GJ31-SG,20724,NSE
708KA31-SG,20797,NSE
689AP35-SG,2086,NSE
72HP35-SG,20844,NSE
EFORCE-SM,20899,NSE
722AS29-SG,20915,NSE
686TS41-SG,2095,NSE
990SCL26B-Y7,20995,NSE
835SCL23A-YH,21026,NSE
73HP30-SG,21051,NSE
SURANASOL-EQ,21077,NSE
774AP32A-SG,21153,NSE
692BR32-SG,21161,NSE
77AP43A-SG,21168,NSE
885TCAPS29-NC,21229,NSE
78NABARD27-N0,21239,NSE
705PN31-SG,2135,NSE
777HR36-SG,21276,NSE
649KA30-SG,21390,NSE
AVADHSUGAR-EQ,21406,NSE
UTINEXT50-EQ,21478,NSE
764AP31-SG,21494,NSE
768AS31-SG,21496,NSE
724AP33-SG,21644,NSE
MAXPOSURE-SM,21691,NSE
MEDIASSIST-EQ,21705,NSE
MATRIMONY-EQ,21726,NSE
CHOLAHLDNG-EQ,21740,NSE
SBILIFE-EQ,21808,NSE
759TS46-SG,21830,NSE
718KL29-SG,21912,NSE
783MH30-SG,21940,NSE
652MP35-SG,21949,NSE
711MP30-SG,21963,NSE
719MP40-SG,21967,NSE
657MP30-SG,21975,NSE
698MP30-SG,21978,NSE
IEX-EQ,220,NSE
709MP30-SG,21991,NSE
72MZ29-SG,22018,NSE
701PY26-SG,22027,NSE
714RJ30-SG,22074,NSE
641TN30-SG,22103,NSE
717TN29-SG,22123,NSE
72TN31-SG,22124,NSE
694TN25-SG,22132,NSE
721TR29-SG,22139,NSE
72WB30-SG,22142,NSE
719WB29-SG,22148,NSE
71WB30-SG,22151,NSE
655WB30-SG,22178,NSE
679JK30-SG,22182,NSE
660TS30-SG,22195,NSE
739TS59-SG,22203,NSE
799TS30-SG,22205,NSE
649AP33-SG,22264,NSE
577GS2030-GS,22292,NSE
64GJ30-SG,22296,NSE
648HR40-SG,22299,NSE
MINDSPACE-RR,22308,NSE
65KA30-SG,22368,NSE
669TS50-SG,22371,NSE
MAXHEALTH-EQ,22377,NSE
664RJ30-SG,22412,NSE
EPACK-EQ,22463,NSE
765CG33-SG,22494,NSE
763MH35-SG,22500,NSE
763MH36-SG,22502,NSE
767WB43-SG,22507,NSE
NIF10GETF-EQ,22524,NSE
85CIFC27-NL,22551,NSE
MOREPENLAB-EQ,2259,NSE
695TN31-SG,2260,NSE
BLSE-EQ,22566,NSE
IRISDOREME-EQ,2275,NSE
768SIDB27-N2,22668,NSE
748CG32-SG,22745,NSE
747BR39-SG,22755,NSE
745JK54-SG,22760,NSE
760PFC29-N0,22793,NSE
850NIRMA27-N7,22811,NSE
746PN33-SG,22865,NSE
742TN34-SG,22866,NSE
656MH32-SG,1000,NSE
94SFL28-YL,1001,NSE
679AP34-SG,1004,NSE
679PN35-SG,1007,NSE
SFMP6DR-MF,10052,NSE
SFMP6GR-MF,10060,NSE
68JK35-SG,1009,NSE
688WB40-SG,1015,NSE
GODREJCP-EQ,10099,NSE
794HR34-SG,10205,NSE
794TS36-SG,10212,NSE
ADANIENSOL-EQ,10217,NSE
MANORAMA-EQ,10227,NSE
765TN29-SG,10234,NSE
CONFIPET-EQ,10238,NSE
KAYA-BE,10282,NSE
AYMSYNTEX-EQ,10285,NSE
RAMASTEEL-EQ,10300,NSE
PKTEA-BE,10318,NSE
SKP-SM,10325,NSE
RADHIKAJWE-EQ,10343,NSE
78GJ32A-SG,10367,NSE
802WB37-SG,10384,NSE
797HR42-SG,10479,NSE
UTISENSETF-EQ,10515,NSE
782RJ44-SG,10525,NSE
515GS2025-GS,1054,NSE
757HP31-SG,10526,NSE
SHARDAMOTR-EQ,10530,NSE
NIFTYBEES-EQ,10576,NSE
MOM30IETF-EQ,10585,NSE
OLECTRA-EQ,10637,NSE
795HR37-SG,10640,NSE
SURANAT&P-EQ,10700,NSE
76TN32-SG,10720,NSE
765BR32A-SG,10721,NSE
OFSS-EQ,10738,NSE
659HR30-SG,1077,NSE
647KA30-SG,1080,NSE
AHIMSA-ST,10770,NSE
774TS46-SG,10784,NSE
HDFC1406DG-MF,10839,NSE
GODREJIND-EQ,10925,NSE
DIVISLAB-EQ,10940,NSE
68TS50A-SG,1098,NSE
749HP34-SG,10959,NSE
INFOBEAN-EQ,11027,NSE
SANGINITA-EQ,11032,NSE
BANKIETF-EQ,11037,NSE
756TS40-SG,11160,NSE
HARSHA-EQ,11162,NSE
INDIGO-EQ,11195,NSE
KANDARP-ST,11211,NSE
SHK-EQ,11212,NSE
UCOBANK-EQ,11223,NSE
771MN32-SG,11286,NSE
87SCL27-Z6,11356,NSE
865SCL24B-Z8,11365,NSE
POONAWALLA-EQ,11403,NSE
784TS34-SG,11409,NSE
NDTV-EQ,11427,NSE
785UK32-SG,11510,NSE
785AP40-SG,11514,NSE
TCS-EQ,11536,NSE
HDFC1359DG-MF,11560,NSE
HDFC1359DQ-MF,11561,NSE
FORCEMOT-EQ,11573,NSE
741GJ26-SG,11588,NSE
LINCOLN-EQ,11596,NSE
WELENT-EQ,11626,NSE
GMBREW-EQ,1168,NSE
DWARKESH-EQ,11667,NSE
681TR35-SG,1172,NSE
CONSOFINVT-EQ,11731,NSE
750IRFC35-NK,11757,NSE
JPPOWER-EQ,11763,NSE
783PN42-SG,11769,NSE
HPIL-EQ,11796,NSE
93SCL25-ZH,11835,NSE
894SCL25A-ZI,11837,NSE
GLAND-EQ,1186,NSE
CYBERMEDIA-BE,11845,NSE
93SCL24A-ZN,11861,NSE
PRIMESECU-EQ,11864,NSE
FMGOETZE-EQ,1190,NSE
757GJ26-SG,11866,NSE
NECLIFE-BE,11930,NSE
KANSAINER-EQ,1196,NSE
MEDANTA-EQ,11956,NSE
FCSSOFT-EQ,11999,NSE
BASML-EQ,12034,NSE
UTIDGR35P1-MF,12040,NSE
532AS25-SG,1210,NSE
UTIRMP35P1-MF,12064,NSE
DOLATALGO-EQ,12124,NSE
BBTCL-EQ,12153,NSE
657GA30-SG,1237,NSE
CAGL25A-N4,12456,NSE
CAGL27A-N6,12471,NSE
VINNY-EQ,12490,NSE
67JK32-SG,1253,NSE
763KA42-SG,12710,NSE
11NSETEST-EQ,12841,NSE
758BR32-SG,13113,NSE
ALLETEC-SM,13203,NSE
SULA-EQ,13218,NSE
764WB32-SG,13248,NSE
767JH37-SG,13257,NSE
KEC-EQ,13260,NSE
AFSL-EQ,13288,NSE
ORTEL-BZ,13321,NSE
SDBL-EQ,1338,NSE
767WB39-SG,13399,NSE
ELIN-EQ,13423,NSE
RATNAMANI-EQ,13451,NSE
KAMDHENU-EQ,13457,NSE
AMJUMBO-SM,1353,NSE
894SCL27-ZY,13487,NSE
HOMESFY-SM,13526,NSE
HDFC1204DD-MF,13539,NSE
AVONMORE-EQ,13557,NSE
RADIANTCMS-EQ,13580,NSE
ANDHRSUGAR-EQ,136,NSE
ANTELOPUS-EQ,13598,NSE
76KA33-SG,13601,NSE
IRCTC-EQ,13611,NSE
649GJ29-SG,1364,NSE
764GA38-SG,13619,NSE
BANKETFADD-EQ,13644,NSE
668JH32-SG,1376,NSE
FIEMIND-EQ,13710,NSE
762UP35-SG,13778,NSE
TORNTPOWER-EQ,13786,NSE
PARSVNATH-BE,13795,NSE
BAIDFIN-EQ,13794,NSE
875IIFL26A-NQ,13845,NSE
IIFLZC28A-NU,13858,NSE
765TN33-SG,13874,NSE
764RJ38-SG,13902,NSE
UTIDMP35P3-MF,13942,NSE
767MP33-SG,13965,NSE
767NL33A-SG,13967,NSE
768HR33-SG,13968,NSE
VEEDOL-EQ,14019,NSE
980SFIL28-NL,14032,NSE
965IFSL26-N6,14045,NSE
SIYSIL-EQ,14096,NSE
76JK35-SG,14103,NSE
756RJ48-SG,14113,NSE
TIMKEN-EQ,14198,NSE
766UP33A-SG,14273,NSE
774UK33-SG,14376,NSE
774MH33-SG,14378,NSE
GOLDBEES-EQ,14428,NSE
775UP35-SG,14441,NSE
777MP43-SG,14451,NSE
729NHAI26-NC,14499,NSE
773BR33-SG,14534,NSE
772AS33-SG,14539,NSE
MCON-SM,14574,NSE
77AP30A-SG,14636,NSE
772HR32-SG,14638,NSE
778UP35-SG,14649,NSE
NAVINFLUOR-EQ,14672,NSE
TIMETECHNO-EQ,14707,NSE
948SCL26D-AI,14721,NSE
101NSETEST-EQ,14772,NSE
131NSETEST-EQ,14778,NSE
775CG31-SG,14816,NSE
775SK33-SG,14822,NSE
779UP33-SG,14829,NSE
777MP47-SG,14850,NSE
776KL58-SG,14861,NSE
AKI-BE,14895,NSE
KPRMILL-EQ,14912,NSE
PURVA-EQ,14922,NSE
GSEC10YEAR-EQ,14938,NSE
INDOWIND-EQ,14952,NSE
KSCL-EQ,14972,NSE
758NL33-SG,15021,NSE
717GS2030-GS,15050,NSE
AVALON-EQ,15058,NSE
BLAL-EQ,15067,NSE
INDHOTEL-EQ,1512,NSE
535RJ25-SG,1513,NSE
RGL-EQ,15129,NSE
1003SFIL28-NX,15249,NSE
866SFIL23A-NY,15251,NSE
SEPC-EQ,15308,NSE
APCOTEXIND-EQ,154,NSE
VGUARD-EQ,15362,NSE
MILTON-SM,159,NSE
GILLETTE-EQ,1576,NSE
716HR27-SG,15966,NSE
APOLLOTYRE-EQ,163,NSE
PAVNAIND-EQ,16192,NSE
736RJ33-SG,16346,NSE
CRAYONS-SM,16419,NSE
657HP30A-SG,1647,NSE
66UP30A-SG,1649,NSE
651KA30B-SG,1650,NSE
KIRIINDUS-EQ,16639,NSE
67GJ30-SG,167,NSE
729HP31-SG,16641,NSE
733AP42-SG,16653,NSE
734HR31-SG,16784,NSE
IVP-EQ,1681,NSE
736AP38-SG,16808,NSE
IKIO-EQ,16822,NSE
VINYLINDIA-EQ,16821,NSE
81TCHF28-N8,16870,NSE
TCHF30-NB,16894,NSE
ARTEMISMED-EQ,16913,NSE
736JK35-SG,16929,NSE
CELLPOINT-SM,16950,NSE
745PN34-SG,16981,NSE
85IFL26-NX,17024,NSE
672RJ30-SG,171,NSE
GREENCHEF-SM,17092,NSE
747TS41-SG,17103,NSE
SGBJ28VIII-GB,17110,NSE
746AP43-SG,17111,NSE
673SK30-SG,173,NSE
ASPINWALL-EQ,17270,NSE
738GA33-SG,17324,NSE
736AP38A-SG,17325,NSE
SALONA-EQ,17351,NSE
940SCL26C-AU,17508,NSE
LIQUID-EQ,17572,NSE
PVTBANKADD-EQ,17576,NSE
PSUBANKADD-EQ,17616,NSE
YCCL-SM,17627,NSE
745AS33A-SG,17642,NSE
745TS40-SG,17667,NSE
743TN43-SG,17670,NSE
743TN53-SG,17671,NSE
744JK53-SG,17672,NSE
ASTEC-EQ,17728,NSE
BAFNAPH-BE,17735,NSE
NIITMTS-EQ,17747,NSE
GILLANDERS-EQ,17839,NSE
957NIDO26-N5,17864,NSE
GATECH-EQ,17888,NSE
669TN30-SG,179,NSE
PGIMCSA4D-MF,17994,NSE
PGIMCSR1D-MF,17995,NSE
66RJ30-SG,18,NSE
718GS2033-GS,18025,NSE
YUDIZ-SM,18040,NSE
MINDTECK-EQ,18049,NSE
BPF02IMD-MF,18065,NSE
747KL39-SG,18097,NSE
745JK53-SG,18105,NSE
BPF02RWR-MF,18163,NSE
HATHWAY-EQ,18154,NSE
678KA32-SG,182,NSE
KAMATHOTEL-EQ,1826,NSE
FICRF3GP-MF,18179,NSE
FISTIP3QDP-MF,18196,NSE
CPS-SM,18372,NSE
719GS2060-GS,18474,NSE
747MH34-SG,18528,NSE
66UK31-SG,1854,NSE
746MH33-SG,18531,NSE
716GS2050-GS,18561,NSE
664JK36-SG,1863,NSE
664TS51-SG,1872,NSE
597CG27-SG,1887,NSE
957SCL30-BX,18879,NSE
SJVN-EQ,18883,NSE
VBL-EQ,18921,NSE
749CG30-SG,18932,NSE
745GJ31-SG,18938,NSE
KINGFA-BE,18948,NSE
SGBMAY28-GB,18972,NSE
744WB42-SG,19000,NSE
KIRLOSIND-EQ,19025,NSE
PODDARMENT-EQ,19036,NSE
754UK33-SG,19163,NSE
751MP38-SG,19169,NSE
TCIEXP-EQ,19223,NSE
SENSEXETF-EQ,19224,NSE
CHOLAFIN-D1,19257,NSE
SPCENET-EQ,19372,NSE
BOROLTD-EQ,19401,NSE
77GA33-SG,19481,NSE
764WB43-SG,19520,NSE
767GA33-SG,19527,NSE
BAJAJCON-EQ,19531,NSE
768UP34-SG,19532,NSE
772MZ38-SG,19539,NSE
662TS41-SG,1959,NSE
768TN30-SG,19614,NSE
76JK53-SG,19623,NSE
WOMANCART-SM,19627,NSE
777PN33-SG,19720,NSE
776MP37-SG,19727,NSE
763JK53-SG,19742,NSE
902SCL26-N8,19763,NSE
TRANSTEEL-SM,19801,NSE
RADIOCITY-EQ,19877,NSE
779WB40-SG,19905,NSE
KILITCH-EQ,19937,NSE
851HUDCO28-NB,19964,NSE
SGBJAN29X-GB,2003,NSE
714AP34-SG,20019,NSE
940SCL26A-NK,20045,NSE
990SCL26A-NL,20061,NSE
UNIDT-EQ,201,NSE
948SCL26A-NN,20075,NSE
1003SCL30A-NV,20116,NSE
RAMKY-EQ,20134,NSE
773UP34-SG,20179,NSE
WABAG-EQ,20188,NSE
663HP31-SG,2021,NSE
663HP33-SG,2023,NSE
SUNREST-SM,20213,NSE
664UP31-SG,2024,NSE
IREDA-EQ,20261,NSE
GANDHAR-EQ,20303,NSE
718AS29-SG,20311,NSE
709KA30-SG,20313,NSE
68TS50-SG,1018,NSE
793TS34-SG,10204,NSE
FEDERALBNK-EQ,1023,NSE
793TS35-SG,10207,NSE
SGBJUN30-GB,10232,NSE
765GJ29-SG,10233,NSE
SGBJUN27-GB,10261,NSE
791TS43-SG,10269,NSE
792AP41-SG,10337,NSE
783AS32-SG,10357,NSE
798RJ42-SG,10381,NSE
ARVSMART-EQ,10457,NSE
RAMRAT-EQ,10485,NSE
764TN32-SG,10544,NSE
784TS36-SG,10545,NSE
TCI-EQ,10580,NSE
777RJ32-SG,10638,NSE
797AP36-SG,10639,NSE
773GJ32-SG,10648,NSE
772AP35-SG,10718,NSE
FOSECOIND-EQ,1073,NSE
ZENSARTECH-EQ,1076,NSE
765AS32-SG,10765,NSE
OAL-EQ,10768,NSE
GABRIEL-EQ,1085,NSE
66UP30-SG,1086,NSE
MOVALUE-EQ,10825,NSE
GVPTECH-EQ,10865,NSE
SFMP64GD-MF,10881,NSE
JFLLIFE-SM,10885,NSE
745TS30-SG,10902,NSE
747TS31-SG,10904,NSE
758GA37-SG,10912,NSE
753BR32-SG,10923,NSE
736GS2052-GS,10931,NSE
745HR32-SG,10955,NSE
745BR32-SG,10956,NSE
STCINDIA-EQ,10948,NSE
DREDGECORP-EQ,11271,NSE
SGBJUL27-GB,11154,NSE
GTECJAINX-EQ,1129,NSE
SIL-EQ,11297,NSE
LUXIND-EQ,11301,NSE
LICNETFN50-EQ,11319,NSE
PTC-EQ,11355,NSE
77PN42-SG,11416,NSE
DATAMATICS-EQ,11423,NSE
