SYMBOL,NAME OF COMPANY,normalizedName
SMLT,Sarthak Metals Limited,sarthak metals
SMSLIFE,SMS Lifesciences India Limited,sms lifesciences
SMSPHARMA,SMS Pharmaceuticals Limited,sms pharmaceuticals
SNOWMAN,Snowman Logistics Limited,snowman logistics
SOBHA,Sobha Limited,sobha
SOFTTECH,Softtech Engineers Limited,softtech engineers
SOLARA,Solara Active Pharma Sciences Limited,solara active pharma sciences
SOLARINDS,Solar Industries India Limited,solar industries
SOMANYCERA,Somany Ceramics Limited,somany ceramics
SOMATEX,Soma Textiles & Industries Limited,soma textiles
SOMICONVEY,Somi Conveyor Beltings Limited,somi conveyor beltings
SONACOMS,Sona BLW Precision Forgings Limited,sona blw precision forgings
SONAMLTD,SONAM LIMITED,sonam
SONATSOFTW,Sonata Software Limited,sonata software
SOTL,Savita Oil Technologies Limited,savita oil technologies
SOUTHBANK,The South Indian Bank Limited,the south indian bank
SOUTHWEST,South West Pinnacle Exploration Limited,south west pinnacle exploration
SPAL,S. P. Apparels Limited,s p apparels
SPANDANA,Spandana Sphoorty Financial Limited,spandana sphoorty financial
SPARC,Sun Pharma Advanced Research Company Limited,sun pharma advanced research
SPCENET,Spacenet Enterprises India Limited,spacenet enterprises
SPECIALITY,Speciality Restaurants Limited,speciality restaurants
SPECTRUM,Spectrum Electrical Industries Limited,spectrum electrical
SPENCERS,Spencer's Retail Limited,spencer s retail
SPIC,Southern Petrochemicals Industries Corporation  Limited,southern petrochemicals industries corporation
SPLIL,SPL Industries Limited,spl
SPLPETRO,Supreme Petrochem Limited,supreme petrochem
SPMLINFRA,SPML Infra Limited,spml infra
SPORTKING,Sportking India Limited,sportking
SRD,Shankar Lal Rampal Dye-Chem Limited,shankar lal rampal dye chem
SREEL,Sreeleathers Limited,sreeleathers
SRF,SRF Limited,srf
SRGHFL,SRG Housing Finance Limited,srg housing finance
SRHHYPOLTD,Sree Rayalaseema Hi-Strength Hypo Limited,sree rayalaseema hi strength hypo
SRM,SRM Contractors Limited,srm contractors
SRPL,Shree Ram Proteins Limited,shree ram proteins
SSDL,Saraswati Saree Depot Limited,saraswati saree depot
SSWL,Steel Strips Wheels Limited,steel strips wheels
STALLION,Stallion India Fluorochemicals Limited,stallion india fluorochemicals
STANLEY,Stanley Lifestyles Limited,stanley lifestyles
STAR,Strides Pharma Science Limited,strides pharma science
STARCEMENT,Star Cement Limited,star cement
STARHEALTH,Star Health and Allied Insurance Company Limited,star health and allied insurance
STARPAPER,Star Paper Mills Limited,star paper mills
STARTECK,Starteck Finance Limited,starteck finance
STCINDIA,The State Trading Corporation of India Limited,the state trading corporation of
STEELCAS,Steelcast Limited,steelcast
STEELCITY,Steel City Securities Limited,steel city securities
STEELXIND,STEEL EXCHANGE INDIA LIMITED,steel exchange
STEL,Stel Holdings Limited,stel holdings
STERTOOLS,Sterling Tools Limited,sterling tools
STLNETWORK,STL Networks Limited,stl networks
STLTECH,Sterlite Technologies Limited,sterlite technologies
STOVEKRAFT,Stove Kraft Limited,stove kraft
STYLAMIND,Stylam Industries Limited,stylam
STYLEBAAZA,Baazar Style Retail Limited,baazar style retail
STYRENIX,Styrenix Performance Materials Limited,styrenix performance materials
SUBEXLTD,Subex Limited,subex
SUBROS,Subros Limited,subros
SUDARSCHEM,Sudarshan Chemical Industries Limited,sudarshan chemical
SUKHJITS,Sukhjit Starch & Chemicals Limited,sukhjit starch chemicals
SULA,Sula Vineyards Limited,sula vineyards
SUMEETINDS,Sumeet Industries Limited,sumeet
SUMICHEM,Sumitomo Chemical India Limited,sumitomo chemical
SUMIT,Sumit Woods Limited,sumit woods
SUMMITSEC,Summit Securities Limited,summit securities
SUNCLAY,Sundaram Clayton Limited,sundaram clayton
SUNDARAM,Sundaram Multi Pap Limited,sundaram multi pap
SUNDARMFIN,Sundaram Finance Limited,sundaram finance
SUNDARMHLD,Sundaram Finance Holdings Limited,sundaram finance holdings
SUNDRMBRAK,Sundaram Brake Linings Limited,sundaram brake linings
SUNDRMFAST,Sundram Fasteners Limited,sundram fasteners
SUNDROP,Sundrop Brands Limited,sundrop brands
SUNFLAG,Sunflag Iron And Steel Company Limited,sunflag iron and steel
SUNPHARMA,Sun Pharmaceutical Industries Limited,sun pharmaceutical
SUNTECK,Sunteck Realty Limited,sunteck realty
SUNTV,Sun TV Network Limited,sun tv network
SUPERHOUSE,Superhouse Limited,superhouse
SUPERSPIN,Super Spinning Mills Limited,super spinning mills
SUPRAJIT,Suprajit Engineering Limited,suprajit engineering
SUPREME,Supreme Holdings & Hospitality (India) Limited,supreme holdings hospitality
SUPREMEIND,Supreme Industries Limited,supreme
SUPREMEINF,Supreme Infrastructure India Limited,supreme infrastructure
SUPRIYA,Supriya Lifescience Limited,supriya lifescience
SURAJEST,Suraj Estate Developers Limited,suraj estate developers
SURAJLTD,Suraj Limited,suraj
SURAKSHA,Suraksha Diagnostic Limited,suraksha diagnostic
SURANASOL,Surana Solar Limited,surana solar
SURANAT&P,Surana Telecom and Power Limited,surana telecom and power
SURYALAXMI,Suryalakshmi Cotton Mills Limited,suryalakshmi cotton mills
SURYAROSNI,Surya Roshni Limited,surya roshni
SURYODAY,Suryoday Small Finance Bank Limited,suryoday small finance bank
SUTLEJTEX,Sutlej Textiles and Industries Limited,sutlej textiles and
SUVEN,Suven Life Sciences Limited,suven life sciences
SUVIDHAA,Suvidhaa Infoserve Limited,suvidhaa infoserve
SUYOG,Suyog Telematics Limited,suyog telematics
SUZLON,Suzlon Energy Limited,suzlon energy
SVLL,Shree Vasu Logistics Limited,shree vasu logistics
SVPGLOB,SVP GLOBAL TEXTILES LIMITED,svp global textiles
SWANCORP,SWAN CORP LIMITED,swan corp
SWARAJENG,Swaraj Engines Limited,swaraj engines
SWELECTES,Swelect Energy Systems Limited,swelect energy systems
SWIGGY,Swiggy Limited,swiggy
SWSOLAR,Sterling and Wilson Renewable Energy Limited,sterling and wilson renewable energy
SYMPHONY,Symphony Limited,symphony
SYNCOMF,Syncom Formulations (India) Limited,syncom formulations
SYNGENE,Syngene International Limited,syngene international
SYRMA,Syrma SGS Technology Limited,syrma sgs technology
TAINWALCHM,Tainwala Chemical and Plastic (I) Limited,tainwala chemical and plastic i
TAJGVK,Taj GVK Hotels & Resorts Limited,taj gvk hotels resorts
TAKE,Take Solutions Limited,take solutions
TALBROAUTO,Talbros Automotive Components Limited,talbros automotive components
TANLA,Tanla Platforms Limited,tanla platforms
TARACHAND,Tara Chand InfraLogistic Solutions Limited,tara chand infralogistic solutions
TARAPUR,Tarapur Transformers Limited,tarapur transformers
TARC,TARC Limited,tarc
TARIL,Transformers And Rectifiers (India) Limited,transformers and rectifiers
TARMAT,Tarmat Limited,tarmat
TARSONS,Tarsons Products Limited,tarsons products
TASTYBITE,Tasty Bite Eatables Limited,tasty bite eatables
TATACHEM,Tata Chemicals Limited,tata chemicals
TATACOMM,Tata Communications Limited,tata communications
TATACONSUM,TATA CONSUMER PRODUCTS LIMITED,tata consumer products
TATAELXSI,Tata Elxsi Limited,tata elxsi
TATAINVEST,Tata Investment Corporation Limited,tata investment corporation
TATAMOTORS,Tata Motors Limited,tata motors
TATAPOWER,Tata Power Company Limited,tata power
TATASTEEL,Tata Steel Limited,tata steel
TATATECH,Tata Technologies Limited,tata technologies
TATVA,Tatva Chintan Pharma Chem Limited,tatva chintan pharma chem
TBOTEK,TBO Tek Limited,tbo tek
TBZ,Tribhovandas Bhimji Zaveri Limited,tribhovandas bhimji zaveri
TCI,Transport Corporation of India Limited,transport corporation of
TCIEXP,TCI Express Limited,tci express
TCIFINANCE,TCI Finance Limited,tci finance
TCPLPACK,TCPL Packaging Limited,tcpl packaging
TCS,Tata Consultancy Services Limited,tata consultancy services
TDPOWERSYS,TD Power Systems Limited,td power systems
TEAMGTY,Team India Guaranty Limited,team india guaranty
TEAMLEASE,Teamlease Services Limited,teamlease services
TECHM,Tech Mahindra Limited,tech mahindra
TECHNOE,Techno Electric & Engineering Company Limited,techno electric engineering
TECILCHEM,TECIL Chemicals and Hydro Power Limited,tecil chemicals and hydro power
TEGA,Tega Industries Limited,tega
TEJASNET,Tejas Networks Limited,tejas networks
TEMBO,Tembo Global Industries Limited,tembo global
TERASOFT,Tera Software Limited,tera software
TEXINFRA,Texmaco Infrastructure & Holdings Limited,texmaco infrastructure holdings
TEXMOPIPES,Texmo Pipes and Products Limited,texmo pipes and products
TEXRAIL,Texmaco Rail & Engineering Limited,texmaco rail engineering
TFCILTD,Tourism Finance Corporation of India Limited,tourism finance corporation of
TFL,Transwarranty Finance Limited,transwarranty finance
TGBHOTELS,TGB Banquets And Hotels Limited,tgb banquets and hotels
THANGAMAYL,Thangamayil Jewellery Limited,thangamayil jewellery
THEINVEST,The Investment Trust Of India Limited,the investment trust of
THEJO,Thejo Engineering Limited,thejo engineering
THELEELA,Schloss Bangalore Limited,schloss bangalore
THEMISMED,Themis Medicare Limited,themis medicare
THERMAX,Thermax Limited,thermax
THOMASCOOK,Thomas Cook  (India)  Limited,thomas cook
THOMASCOTT,Thomas Scott (India) Limited,thomas scott
THYROCARE,Thyrocare Technologies Limited,thyrocare technologies
TI,Tilaknagar Industries Limited,tilaknagar
TICL,Twamev Construction and Infrastructure Limited,twamev construction and infrastructure
TIIL,Technocraft Industries (India) Limited,technocraft industries
TIINDIA,Tube Investments of India Limited,tube investments of
TIJARIA,Tijaria Polypipes Limited,tijaria polypipes
TIL,TIL Limited,til
TIMETECHNO,Time Technoplast Limited,time technoplast
TIMKEN,Timken India Limited,timken
TINNARUBR,Tinna Rubber and Infrastructure Limited,tinna rubber and infrastructure
TIPSFILMS,Tips Films Limited,tips films
TIPSMUSIC,Tips Music Limited,tips music
TIRUMALCHM,Thirumalai Chemicals Limited,thirumalai chemicals
TIRUPATIFL,Tirupati Forge Limited,tirupati forge
TITAGARH,TITAGARH RAIL SYSTEMS LIMITED,titagarh rail systems
TITAN,Titan Company Limited,titan
TMB,Tamilnad Mercantile Bank Limited,tamilnad mercantile bank
TNPETRO,Tamilnadu PetroProducts Limited,tamilnadu petroproducts
TNPL,Tamil Nadu Newsprint & Papers Limited,tamil nadu newsprint papers
TNTELE,Tamilnadu Telecommunication Limited,tamilnadu telecommunication
TOKYOPLAST,Tokyo Plast International Limited,tokyo plast international
TOLINS,Tolins Tyres Limited,tolins tyres
TORNTPHARM,Torrent Pharmaceuticals Limited,torrent pharmaceuticals
TORNTPOWER,Torrent Power Limited,torrent power
TOTAL,Total Transport Systems Limited,total transport systems
TOUCHWOOD,Touchwood Entertainment Limited,touchwood entertainment
TPHQ,Teamo Productions HQ Limited,teamo productions hq
TPLPLASTEH,TPL Plastech Limited,tpl plastech
TRACXN,Tracxn Technologies Limited,tracxn technologies
TRANSRAILL,Transrail Lighting Limited,transrail lighting
TRANSWORLD,TRANSWORLD SHIPPING LINES LIMITED,transworld shipping lines
TRAVELFOOD,Travel Food Services Limited,travel food services
TREEHOUSE,Tree House Education & Accessories Limited,tree house education accessories
TREJHARA,TREJHARA SOLUTIONS LIMITED,trejhara solutions
TREL,Transindia Real Estate Limited,transindia real estate
TRENT,Trent Limited,trent
TRF,TRF Limited,trf
TRIDENT,Trident Limited,trident
TRIGYN,Trigyn Technologies Limited,trigyn technologies
TRITURBINE,Triveni Turbine Limited,triveni turbine
TRIVENI,Triveni Engineering & Industries Limited,triveni engineering
TRU,TruCap Finance Limited,trucap finance
TTKHLTCARE,TTK Healthcare Limited,ttk healthcare
TTKPRESTIG,TTK Prestige Limited,ttk prestige
TTL,T T Limited,t t
TTML,Tata Teleservices (Maharashtra) Limited,tata teleservices maharashtra
TVSELECT,TVS Electronics Limited,tvs electronics
TVSHLTD,TVS Holdings Limited,tvs holdings
TVSMOTOR,TVS Motor Company Limited,tvs motor
TVSSCS,TVS Supply Chain Solutions Limited,tvs supply chain solutions
TVSSRICHAK,TVS Srichakra Limited,tvs srichakra
TVTODAY,TV Today Network Limited,tv today network
TVVISION,TV Vision Limited,tv vision
UBL,United Breweries Limited,united breweries
UCAL,UCAL LIMITED,ucal
UCOBANK,UCO Bank,uco bank
UDS,Updater Services Limited,updater services
UFLEX,UFLEX Limited,uflex
UFO,UFO Moviez India Limited,ufo moviez
UGARSUGAR,The Ugar Sugar Works Limited,the ugar sugar works
UGROCAP,Ugro Capital Limited,ugro capital
UJJIVANSFB,Ujjivan Small Finance Bank Limited,ujjivan small finance bank
ULTRACEMCO,UltraTech Cement Limited,ultratech cement
UMAEXPORTS,Uma Exports Limited,uma exports
UMESLTD,Usha Martin Education & Solutions Limited,usha martin education solutions
UMIYA-MRO,UMIYA BUILDCON LIMITED,umiya buildcon
UNICHEMLAB,Unichem Laboratories Limited,unichem laboratories
UNIDT,United Drilling Tools Limited,united drilling tools
UNIECOM,Unicommerce Esolutions Limited,unicommerce esolutions
UNIENTER,Uniphos Enterprises Limited,uniphos enterprises
UNIINFO,Uniinfo Telecom Services Limited,uniinfo telecom services
UNIMECH,Unimech Aerospace and Manufacturing Limited,unimech aerospace and manufacturing
UNIONBANK,Union Bank of India,union bank of
UNIPARTS,Uniparts India Limited,uniparts
UNITDSPR,United Spirits Limited,united spirits
UNITECH,Unitech Limited,unitech
UNITEDPOLY,United Polyfab Gujarat Limited,united polyfab gujarat
UNITEDTEA,The United Nilgiri Tea Estates Company Limited,the united nilgiri tea estates
UNIVASTU,Univastu India Limited,univastu
UNIVCABLES,Universal Cables Limited,universal cables
UNIVPHOTO,Universus Photo Imagings Limited,universus photo imagings
UNOMINDA,UNO Minda Limited,uno minda
UPL,UPL Limited,upl
URAVIDEF,Uravi Defence and Technology Limited,uravi defence and technology
URJA,Urja Global Limited,urja global
USHAMART,Usha Martin Limited,usha martin
USK,Udayshivakumar Infra Limited,udayshivakumar infra
UTIAMC,UTI Asset Management Company Limited,uti asset management
UTKARSHBNK,Utkarsh Small Finance Bank Limited,utkarsh small finance bank
UTTAMSUGAR,Uttam Sugar Mills Limited,uttam sugar mills
UYFINCORP,U. Y. Fincorp Limited,u y fincorp
V2RETAIL,V2 Retail Limited,v2 retail
VADILALIND,Vadilal Industries Limited,vadilal
VAIBHAVGBL,Vaibhav Global Limited,vaibhav global
VAISHALI,Vaishali Pharma Limited,vaishali pharma
VAKRANGEE,Vakrangee Limited,vakrangee
VALIANTLAB,Valiant Laboratories Limited,valiant laboratories
VALIANTORG,Valiant Organics Limited,valiant organics
VARDHACRLC,Vardhman Acrylics Limited,vardhman acrylics
VARDMNPOLY,Vardhman Polytex Limited,vardhman polytex
VARROC,Varroc Engineering Limited,varroc engineering
VASCONEQ,Vascon Engineers Limited,vascon engineers
VASWANI,Vaswani Industries Limited,vaswani
VBL,Varun Beverages Limited,varun beverages
VCL,Vaxtex Cotfab Limited,vaxtex cotfab
VEDL,Vedanta Limited,vedanta
VEEDOL,Veedol Corporation Limited,veedol corporation
VENKEYS,Venky's (India) Limited,venky s
VENTIVE,Ventive Hospitality Limited,ventive hospitality
VENUSPIPES,Venus Pipes & Tubes Limited,venus pipes tubes
VENUSREM,Venus Remedies Limited,venus remedies
VERANDA,Veranda Learning Solutions Limited,veranda learning solutions
VERTOZ,Vertoz Limited,vertoz
VESUVIUS,Vesuvius India Limited,vesuvius
VETO,Veto Switchgears And Cables Limited,veto switchgears and cables
VGUARD,V-Guard Industries Limited,v guard
VHL,Vardhman Holdings Limited,vardhman holdings
VHLTD,Viceroy Hotels Limited,viceroy hotels
VIDHIING,Vidhi Specialty Food Ingredients Limited,vidhi specialty food ingredients
VIJAYA,Vijaya Diagnostic Centre Limited,vijaya diagnostic centre
VIJIFIN,Viji Finance Limited,viji finance
VIKASECO,Vikas EcoTech Limited,vikas ecotech
VIKASLIFE,Vikas Lifecare Limited,vikas lifecare
VIKRAMSOLR,Vikram Solar Limited,vikram solar
VIKRAN,Vikran Engineering Limited,vikran engineering
VIMTALABS,Vimta Labs Limited,vimta labs
VINATIORGA,Vinati Organics Limited,vinati organics
VINCOFE,Vintage Coffee And Beverages Limited,vintage coffee and beverages
VINDHYATEL,Vindhya Telelinks Limited,vindhya telelinks
VINEETLAB,Vineet Laboratories Limited,vineet laboratories
VINNY,Vinny Overseas Limited,vinny overseas
VINYLINDIA,Vinyl Chemicals (India) Limited,vinyl chemicals
VIPCLOTHNG,VIP Clothing Limited,vip clothing
VIPIND,VIP Industries Limited,vip
VIPULLTD,Vipul Limited,vipul
VIRINCHI,Virinchi Limited,virinchi
VISAKAIND,Visaka Industries Limited,visaka
VISASTEEL,Visa Steel Limited,visa steel
VISHNU,Vishnu Chemicals Limited,vishnu chemicals
VISHWARAJ,Vishwaraj Sugar Industries Limited,vishwaraj sugar
VIVIDHA,Visagar Polytex Limited,visagar polytex
VLEGOV,VL E-Governance & IT Solutions Limited,vl e governance it solutions
VLSFINANCE,VLS Finance Limited,vls finance
VMART,V-Mart Retail Limited,v mart retail
VMM,Vishal Mega Mart Limited,vishal mega mart
VOLTAMP,Voltamp Transformers Limited,voltamp transformers
VOLTAS,Voltas Limited,voltas
VPRPL,Vishnu Prakash R Punglia Limited,vishnu prakash r punglia
VRAJ,Vraj Iron and Steel Limited,vraj iron and steel
VRLLOG,VRL Logistics Limited,vrl logistics
VSSL,Vardhman Special Steels Limited,vardhman special steels
VSTIND,VST Industries Limited,vst
VSTL,Vibhor Steel Tubes Limited,vibhor steel tubes
VSTTILLERS,V.S.T Tillers Tractors Limited,v s t tillers tractors
VTL,Vardhman Textiles Limited,vardhman textiles
WAAREEENER,Waaree Energies Limited,waaree energies
WAAREERTL,Waaree Renewable Technologies Limited,waaree renewable technologies
WABAG,VA Tech Wabag Limited,va tech wabag
WALCHANNAG,Walchandnagar Industries Limited,walchandnagar
WANBURY,Wanbury Limited,wanbury
WCIL,Western Carriers (India) Limited,western carriers
WEALTH,Wealth First Portfolio Managers Limited,wealth first portfolio managers
WEBELSOLAR,Websol Energy System Limited,websol energy system
WEIZMANIND,Weizmann Limited,weizmann
WEL,Wonder Electricals Limited,wonder electricals
WELCORP,Welspun Corp Limited,welspun corp
WELENT,Welspun Enterprises Limited,welspun enterprises
WELINV,Welspun Investments and Commercials Limited,welspun investments and commercials
WELSPUNLIV,Welspun Living Limited,welspun living
WENDT,Wendt (India) Limited,wendt
WESTLIFE,WESTLIFE FOODWORLD LIMITED,westlife foodworld
WEWIN,WE WIN LIMITED,we win
WHEELS,Wheels India Limited,wheels
WHIRLPOOL,Whirlpool of India Limited,whirlpool of
WILLAMAGOR,Williamson Magor & Company Limited,williamson magor
WINDLAS,Windlas Biotech Limited,windlas biotech
WINDMACHIN,Windsor Machines Limited,windsor machines
WINSOME,Winsome Yarns Limited,winsome yarns
WIPL,The Western India Plywoods Limited,the western india plywoods
WIPRO,Wipro Limited,wipro
WOCKPHARMA,Wockhardt Limited,wockhardt
WONDERLA,Wonderla Holidays Limited,wonderla holidays
WORTH,Worth Peripherals Limited,worth peripherals
WSI,W S Industries (I) Limited,w s industries i
WSTCSTPAPR,West Coast Paper Mills Limited,west coast paper mills
XCHANGING,Xchanging Solutions Limited,xchanging solutions
XELPMOC,Xelpmoc Design And Tech Limited,xelpmoc design and tech
XPROINDIA,Xpro India Limited,xpro
XTGLOBAL,Xtglobal Infotech Limited,xtglobal infotech
YASHO,Yasho Industries Limited,yasho
YATHARTH,Yatharth Hospital & Trauma Care Services Limited,yatharth hospital trauma care services
YATRA,Yatra Online Limited,yatra online
YESBANK,Yes Bank Limited,yes bank
YUKEN,Yuken India Limited,yuken
ZAGGLE,Zaggle Prepaid Ocean Services Limited,zaggle prepaid ocean services
ZEEL,Zee Entertainment Enterprises Limited,zee entertainment enterprises
ZEELEARN,Zee Learn Limited,zee learn
ZEEMEDIA,Zee Media Corporation Limited,zee media corporation
ZENITHEXPO,Zenith Exports Limited,zenith exports
ZENITHSTL,Zenith Steel Pipes & Industries Limited,zenith steel pipes
ZENSARTECH,Zensar Technologies Limited,zensar technologies
ZENTEC,Zen Technologies Limited,zen technologies
ZFCVINDIA,ZF Commercial Vehicle Control Systems India Limited,zf commercial vehicle control systems
ZIMLAB,Zim Laboratories Limited,zim laboratories
ZODIAC,Zodiac Energy Limited,zodiac energy
ZODIACLOTH,Zodiac Clothing Company Limited,zodiac clothing
ZOTA,Zota Health Care LImited,zota health care
ZUARI,Zuari Agro Chemicals Limited,zuari agro chemicals
ZUARIIND,ZUARI INDUSTRIES LIMITED,zuari
ZYDUSLIFE,Zydus Lifesciences Limited,zydus lifesciences
ZYDUSWELL,Zydus Wellness Limited,zydus wellness
